# Every result of one `yt-dlp ytsearch400:#ESAWinter21`, recorded
# 2026-09-01 for issue #75. This is the whole candidate set the
# event can offer, decoys and other years included - a harder set to
# rank than the six hits a live `ytsearch6:<game> #tag` returns, and
# one that costs no YouTube request to re-run.
video_id,duration,title
X8OcKqJMmNQ,1577,Squirm [Any%] by Reicha7 - #ESAWinter21
QlqJPMW6r4A,3333,Futurama [Any%] by stylonide - #ESAWinter21
aQNaaGJGCVM,2601,Tomb Raider: Legend [Any% (No Bug Jump)] by Senydro - #ESAWinter21
Ng3pqAuCQZg,1260,Dust: An Elysian Tail [Any% (Warps)] by Murtag - #ESAWinter26
O_dNHa7Vd3Y,2553,"The Messenger [NG+ (No OoB, Linear)] by Grondious - #ESAWinter21"
FJ5NBUl93U0,2248,Teslagrad [36 Scrolls (100%)] by Codejinn - #ESAWinter21
mkrOwcy2q2I,3185,The Legend of Zelda: Link's Awakening DX [No WW/OoB] by NitrozSR - #ESAWinter26
8-nL77Ty-wE,3639,Teenage Mutant Ninja Turtles: Out of the Shadows [NG+ (Co-op)] - #ESAWinter21
eRjyOPwxFOQ,2977,Donkey Kong Country 2: Diddy's Kong Quest [Any%] by Niakky - #ESAWinter21
Ca-nBhpzfbQ,1834,Fallout: New Vegas [Glitchless] by Akarion__ - #ESAWinter21
LsF7tgZDcGU,881,Yazzie [Any%] by RuffledBricks - #ESAWinter21
jQMbfm75Uf4,2358,Super Mario 64 [16 Star (Blindfolded)] by Bubzia - #ESAWinter21
YwGM9OMQEXM,4129,"Unravel Two [Any% (No Major Skips, Co-op)] by ms_rey and ThisGuyAreSick - #ESAWinter21"
H62xSNv2_Nc,3296,The Italian Job [Any%] by Viper - #ESAWinter21
4ks0kz4d7vc,1960,Super Mario 64 [16 Star (Dance Pad)] by PeekingBoo - #ESAWinter21
uSWHwpAU5mI,2508,Harry Potter and the Chamber of Secrets [Any%] by Nixxo - #ESAWinter21
AL18X2CNcjA,3779,Luigi's Mansion [No OoB] by PabloBliep10 - #ESAWinter21
Vcdi5TxYtBM,1585,Krum - Edge of Darkness [Any%] by havrd - #ESAWinter21
12Pz9Oi86MM,17967,[Botimuz] ESA Winter Stories + Unpacking VODs 21/02/2021
v4Of6B8m3SA,2337,Alien: Isolation [Any% (CC Only Nightmare)] by Nikoheart - #ESAWinter21
rRfGIVvFd4k,2136,Dishonored 2 [Any%] by DemonicRobots - #ESAWinter21
k-nRn4vf6PI,4776,Dark Souls Remastered [All Bosses] by catalystz - #ESAWinter21
Tyi18dBgJ9c,15207,Jak 3 [100%] by ThaRixer - #ESAWinter21
KdkqCR4XpZ0,997,Tempest of the Heavens and Earth [Boss Attack] by Naro - #ESAWinter21
XQYpLtXwpks,14462,Skies of Arcadia: Legends (PRE-SHOW) [100%] by Pengyy - Part 3/6 - #ESAWinter21
0Sy3Yu1E52M,2248,Psi-Ops: The Mindgate Conspiracy [Any%] by Kainalo - #ESAWinter21
m9QrgyzHObw,2476,#ESAWinter18 Speedruns - Blossom Tales: The Sleeping King [Any% No Save and Quit] by Wiredwicky
WnH6lNuZfZo,482,Jet Set Willy [WRITETYPER] by RuffledBricks - #ESAWinter21
Ov8olsR7Xys,520,#ESAWinter21 GTA:CW Any% Speedrun
uhJinDtCV00,5243,#ESAWinter19 Speedruns - The Lord of the Rings: The Battle for Middle-earth [Evil] by eidgod
3rwsAvQbmOE,2382,Crash: Mind Over Mutant [Any%] by CDRomatron - #ESAWinter21
E3tbL_iMz8Q,2869,Bowser's Fury Speedrun by Samura1man - #ESAWinter21
