# What resolve picks for every row of horaro's 2021-winter out of
# esa-winter-2021-vods.csv. Checked by eye against the titles when it was
# written, for issue #75 (event backfilled in #52).
uuid,game,category,video_id,tier,title
94226c726156ac79f3e2f26d,Spyro Reignited Trilogy - Spyro: Year of the Dragon,Any%,3-jfwiWbD38,tag-game-runner,Spyro Reignited Trilogy - Spyro: Year of the Dragon [Any%] by NostTW - #ESAWinter21
99f319e991a2a2e582bc5921,The Legend of Zelda: Link's Awakening (2019),Any%,i2AF9Oj3v8g,tag-game-runner,The Legend of Zelda: Link's Awakening (2019) [Any%] by Strackel and Miniretin - #ESAWinter21
a48ebc13790120e613014435,Blazing Beaks,Any% (Set Seed),8NzdJEuVdSM,tag-game-runner,Blazing Beaks [Any% (Set Seed)] by LoveBot - #ESAWinter21
6f0f6e31708789fe20bd5cc9,Furi,Speedrun Mode,VboYxvkz9wU,tag-game-runner,Furi [Speedrun Mode] by chocbob and SombraCakes - #ESAWinter21
eb2b507bb50c6d41391caaf3,Ori and the Blind Forest,Randomizer (All Skill Locations),LfSsBxyXc14,tag-game-runner,Ori and the Blind Forest [Randomizer (All Skill Locations)] by Covert_Muffin - #ESAWinter21
6696f4b6d19acb8ab8beee0f,The Messenger,"NG+ (No OoB, Linear)",O_dNHa7Vd3Y,tag-game-runner,"The Messenger [NG+ (No OoB, Linear)] by Grondious - #ESAWinter21"
b9af7003906b28c2f5bae052,Katana ZERO,All Stages,oeDVHIt-TxA,tag-game-runner,Katana ZERO [All Stages] by Xerclipse - #ESAWinter21
7fe827808fc10a99f16fcae8,Bloodstained: Curse of the Moon 2,Episode 1 (Ultimate),8I9V7_RHKM4,tag-game-runner,Bloodstained: Curse of the Moon 2 [Episode 1 (Ultimate)] by TheBlacktastic - #ESAWinter21
d9f04ad307a327f6fb62336e,Castlevania: Dawn of Sorrow,All Bosses (No Memory Corruption),SeqdKQQSNuk,tag-game-runner,Castlevania: Dawn of Sorrow [All Bosses (No Memory Corruption)] by Diagongdx - #ESAWinter21
3de60787d65c9ef1bbcf60d6,Dark Souls II: Scholar of the First Sin,Any%,u0OjaZZQNCQ,tag-game-runner,Dark Souls II: Scholar of the First Sin [Any%] by Nyk_Style and JeffTheBigLizard - #ESAWinter21
67b1545a9fab8efbeccb9f4d,Pokémon Soul Silver,"Any% (Glitchless, Manipless)",JUL4k31338s,tag-game-runner,"Pokémon Soul Silver [Any% (Glitchless, Manipless)] by JTMagicman - #ESAWinter21"
b491315be48f59dab8ccb4be,Crash Bash,Any% (No Memory Manipulation),RFtXd0TolBE,tag-game-runner,Crash Bash [Any% (No Memory Manipulation)] by Pie - #ESAWinter21
00e59c07bce9b1652547e82d,Clubhouse Games: 51 Worldwide Classics,Win All Games,tdP43hdvl-M,tag-game-runner,Clubhouse Games: 51 Worldwide Classics [Win All Games] by 360Chrism - #ESAWinter21
49780c23beb6bafbdb834e7b,Super Cable Boy,Any%,cwbC-HwZwwI,tag-game-runner,Super Cable Boy [Any%] by BoneyC - #ESAWinter21
a971770fd25270b01664e839,Pikuniku,Any%,B6CfzgbPh7g,tag-game-runner,Pikuniku [Any%] by GreenSnowDog - #ESAWinter21
dc1081c427c67bd36a5eff89,WARP,Any%,Igp8lEhfF80,tag-game-runner,WARP [Any%] by SeductiveSpatula - #ESAWinter21
2d56a6b718044f9c0d0143c7,Sheepo,All Bosses,S1ZJBZZt0U8,weak,Super Metroid [GT Classic] by kekumanshoyu - #ESAWinter21
22d85152e78f6f4e72709d21,Tomb Raider: Legend,Any% (No Bug Jump),aQNaaGJGCVM,tag-game-runner,Tomb Raider: Legend [Any% (No Bug Jump)] by Senydro - #ESAWinter21
7d7508a711dd4fd251e87fe4,Mirror's Edge,Any% (Inbounds),6Awm0ppy17g,tag-game-runner,Mirror's Edge [Any% (Inbounds)] by Meteos_Probably and BINGOBONGOS - #ESAWinter21
eb8bcf7a0bd2080e83517b11,Ghostrunner,Any% (Inbounds),9AhqfdQkYK0,tag-game-runner,Ghostrunner [Any% (Inbounds)] by 7rayD - #ESAWinter21
a51882efb9ca688d4bcc9778,Resident Evil 2 (2019),Claire B,xb8wCvg_YyU,tag-game-runner,Resident Evil 2 (2019) [Claire B] by MattRPD - #ESAWinter21
fe9a16ef3cb1a65466eb170f,Fallout: New Vegas,Glitchless,Ca-nBhpzfbQ,tag-game-runner,Fallout: New Vegas [Glitchless] by Akarion__ - #ESAWinter21
9f6b44c3525b7140229ab2f1,Serious Sam 4,All Levels,J5tz9babC1U,weak,Super Mario All-Stars [Any% (All Four Games)] by BigJon - #ESAWinter21
8c8265994f152f0073378982,Halo 3: ODST,Easy,T6paFuYeK7U,tag-game-runner,Halo 3: ODST [Easy] by XeroHR - #ESAWinter21
09e710c581f07ebf49e1825b,Dishonored 2,Any%,rRfGIVvFd4k,tag-game-runner,Dishonored 2 [Any%] by DemonicRobots - #ESAWinter21
42a425862b16b1969b8af82a,Shadow of the Colossus (2018),Any% (Normal),slwCEQokCNA,tag-game-runner,Shadow of the Colossus (2018) [Any% (Normal)] by Incep_Sean - #ESAWinter21
2ac799ec94a13e03c04406d8,Darksiders,All Chosen Bosses,w_SrMlIurjA,tag-game-runner,Darksiders [All Chosen Bosses] by henyK - #ESAWinter21
7dde8fc095f4190806cdd960,Metal Gear Solid V: Ground Zeroes,NG+ (Stealth & No Kills),45UoEPYOwo4,tag-game-runner,Metal Gear Solid V: Ground Zeroes [NG+ (Stealth & No Kills)] by OneCoolManXOF - #ESAWinter21
ce3f0129691f85e4719148ba,Metal Gear Solid 2: HD Edition,European Extreme,KzjdWvapA0g,tag-game-runner,Metal Gear Solid 2: HD Edition [European Extreme] by Jaguar_King and dlimes13 - #ESAWinter21
90b517d4a91bbaa4aa4ea927,Futurama,Any%,QlqJPMW6r4A,tag-game-runner,Futurama [Any%] by stylonide - #ESAWinter21
acb120a63b8b9f7fa6dd6efa,Sonic 3D Blast,Best Ending,gz8y5y3EB7k,tag-game-runner,Sonic 3D Blast [Best Ending] by KingRhodesTN - #ESAWinter21
71802d55f5698e32755a8426,Judgment,Any%,tCLVdb8hvZQ,tag-game-runner,Judgment [Any%] by Froob - #ESAWinter21
d5e8af037c50ca1fd2edbf76,Touhou: Scarlet Curiosity,Remilia (True Ending),1A6uMIVAYFM,tag-game-runner,Touhou: Scarlet Curiosity [Remilia (True Ending)] by Naro - #ESAWinter21
2021-winter-66,Tempest of the Heavens and Earth,Boss Attack,KdkqCR4XpZ0,tag-game-runner,Tempest of the Heavens and Earth [Boss Attack] by Naro - #ESAWinter21
ffe7823b103909af996d9178,Touhou 12.8: Great Fairy Wars,A1L Score Attack,cLxvxvLrlL8,tag-game-runner,Touhou 12.8: Great Fairy Wars [A1L Score Attack] by EeroKurkisuo - #ESAWinter21
28b451f2f5fe35f04d4dc952,Devil May Cry 4: Special Edition,"NG (Nero / Dante, Devil Hunter)",ZXes_wDMWN0,tag-game-runner,"Devil May Cry 4: Special Edition [NG (Nero / Dante, Devil Hunter)] by Mekarazium - #ESAWinter21"
35cf0368cf06e1e49bb9b13c,Jak 3,100%,Tyi18dBgJ9c,tag-game-runner,Jak 3 [100%] by ThaRixer - #ESAWinter21
408a0ee7c293a1e513640d02,Pokémon X,Any%,s-Ovo4qQb20,tag-game-runner,Pokémon X [Any%] by wartab - #ESAWinter21
245f0d3ba6f3d2428e293040,Final Fantasy XV: Royal Edition,Any% (No Ring),WUy1WQaJW1Q,tag-game-runner,Final Fantasy XV: Royal Edition [Any% (No Ring)] by Kyoslilmonster - #ESAWinter21
7eec2bbd7672ad8711319915,Nioh,All Main Missions (Vanilla),Cq-6MONu_CY,tag-game-runner,Nioh [All Main Missions (Vanilla)] by Galasrinie - #ESAWinter21
2658fdbd1a8ac4535e9a9075,Undertale,Genocide,9sV5o0KfQ4c,tag-game-runner,Undertale [Genocide] by Drakodan - #ESAWinter21
df3b347e5c40034b089e5217,Psi-Ops: The Mindgate Conspiracy,Any%,0Sy3Yu1E52M,tag-game-runner,Psi-Ops: The Mindgate Conspiracy [Any%] by Kainalo - #ESAWinter21
0e060194f6248693dabc5fb7,Squirm,Any%,X8OcKqJMmNQ,tag-game-runner,Squirm [Any%] by Reicha7 - #ESAWinter21
ed1724c341e44a3646f20117,Shining Force II,Any%,0EqXCCo4GrA,tag-game-runner,Shining Force II [Any%] by BOWIEtheHERO - #ESAWinter21
7e268ebb3ecfbf60ae8716ae,Harry Potter and the Chamber of Secrets,Any%,uSWHwpAU5mI,tag-game-runner,Harry Potter and the Chamber of Secrets [Any%] by Nixxo - #ESAWinter21
3c62e02f74ff17dc8fe0d1e4,Harry Potter and the Prisoner of Azkaban,100%,uSWHwpAU5mI,weak,Harry Potter and the Chamber of Secrets [Any%] by Nixxo - #ESAWinter21
168b6295e04447da92a7ae9a,M&M's: Shell Shocked,Any%,fe51Qk7--lA,tag-game-runner,M&M's: Shell Shocked [Any%] by KingRhodesTN - #ESAWinter21
838e1fc5661bc95cba62852f,Yogho! Yogho!,Any%,SboRvFiQ36E,tag-game-runner,Yogho! Yogho! [Any%] by janglestorm - #ESAWinter21
354b0f661b43eb2ee6f3c24b,Skate or Die,Compete All,kyZItq3V5IM,tag-game-runner,Skate or Die [Compete All] by janglestorm - #ESAWinter21
