# Every result of one `yt-dlp ytsearch400:#ESASummer24`, recorded
# 2026-09-01 for issue #75. This is the whole candidate set the
# event can offer, decoys and other years included - a harder set to
# rank than the six hits a live `ytsearch6:<game> #tag` returns, and
# one that costs no YouTube request to re-run.
video_id,duration,title
OEV6_o5Tyog,3051,Spirit of the North [Any%] by TheRedSock - #ESASummerOnline
wBSqpNxtfLk,2001,Clustertruck [Twitch%] by Heinki - #ESASummer24
Fs5p73JWopI,3757,Super Mario 64 Archipelago [Ability Randomizer] by 360Chrism - #ESASummer24
KNzg5Ie1cxA,769,Rod Land [Any% Co-op] by Niss3 and JkL0ser - #ESASummer24
rWsXRzenFpE,6226,The Legend of Zelda: Skyward Sword [Any%] by Kitcot6 - #ESASummerOnline
AzE0N0kRDGY,3074,Diddy Kong Racing [Any%] by MrPonytale - #ESASummer24
AhbNMAJbpK8,13375,Old School Runescape [OSRS Bingo] by GiantClam and DaanSmoki - #ESASummer24
o7ODdU-3mzM,823,Yume Penguin Monogatari [Any%] by CartinaCow and EndySWE - #ESASummer24
C2-04i_zt9k,2501,Sonic Adventure DX: Director's Cut [Sonic's Story] by DreeGon - #ESASummer24
Bn9VOnpMEO8,3380,Shadow Warrior 3 [Any%] by 83kY - #ESASummer24
9oe2A2K9IIo,6687,Splatoon [All Scrolls (Dance Pad)] by PeekingBoo - #ESASummerOnline
UrHDvzgxIao,1647,Crypt of the NecroDancer: AMPLIFIED [Coda (All Zones)] by SpootyBiscuit - #ESASummerOnline
VAxNr82BodM,2302,"Mega Man 11 [Any% (Normal, No OoB)] by amad__ - #ESASummer21"
2w_CsUV1VMc,3426,You Are Empty [Any%] by Tezur0 - #ESASummerOnline
mCJrVmtfpqQ,4221,New Super Lucky's Tale [Any%] by KingjO444 - #ESASummerOnline
oaJ4fryq2fU,2145,Edna & Harvey: The Breakout - Anniversary Edition [Any%] by Racooze - #ESASummerOnline
SjoxaOKQs9s,5753,TrackMania² Canyon [All Flags] by Rasta - #ESASummerOnline
s4NxPCmIUUo,1327,The Outer Worlds [Any% (Sun Ending)] by NoobSalmon - #ESASummerOnline
z63CdtZoMjA,4763,Ratchet and Clank 2: Going Commando [All Platinum Bolts] by DylWingo - #ESASummerOnline
I4_IU7RAh2k,1184,Pieces [Easy-Hard (Controller)] by Apollo22237 - #ESASummer24
liDQNyuxsxQ,5947,Grand Poo World 3 (Super Mario Kaizo Hack) [Any%] by leys3r - #ESASummer24
WS3zqibbG3g,952,BLINDFOLDED Super Smash Bros. 64 [Break the Target (All Characters)] by Bubzia - #ESASummerOnline
uEbSw79qItM,989,Contra [Any%] by TheMexicanRunner - #ESASummerOnline
_2kTHiLNGFc,5799,Resident Evil 7 Biohazard [NG+] by moonrunesv2 - #ESASummerOnline
kJ4yh0lGadA,3201,Raskulls [Any%] by SteveTVOnline - #ESASummerOnline
O7OjuJ_yrhI,1710,Valley [All Suit Events] by TheRedSock - #ESASummerOnline
aQBrWgR0_RQ,945,Paris Marseille Racing [2P1C] by Shigan_ and linkboss - #ESASummer24
fE4ZeuIEs2g,2495,Pokémon Puzzle League [1P Stadium (Super Hard)] by TaymanND - #ESASummerOnline
QpuO8WYvhK0,355,ESA Summer Marathon 2022 24 - Skylar & Plux: Adventure on Clover Island [FR Restream]
GlLCALsOZJs,301,The Rescue of Princess Blobette [Any%] by Oh_DeeR - #ESASummer24
b6KFoiXtT_s,1602,"Goat Simulator [Trophies (Base Game, No Mutators)] by Maygikal - #ESASummerOnline"
36HYPJ7oDj0,1807,Sonic Robo Blast 2 [Sonic Any%] by Lemin and Refrag - #ESASummer24
mYy4lj0h64A,285,LEGO Harry Potter: The Battle for Hogwarts [Any%] by Oggyerino - #ESASummer24
HPNjnRIti_s,5453,Valkyria Chronicles [NG+] by sniperdog147 - #ESASummerOnline
gLa_NE2xots,6301,Resident Evil 4 (2023) [Any% (NG+)] by DaanSmoki - #ESASummer23
tfhqHxhNEk4,1690,A Bug's Life [Any%] by plywood_ - #ESASummerOnline
khgdIcAGCXA,1337,Dizzy: The Ultimate Cartoon Adventure [Any%] by DigitalDuck - #ESASummer21
JttkrJBP-k4,498,The Worlds Hardest Game [Any% (Flash)] by hsblue - #ESASummer24
QqZu_WZ0v3o,15179,The Legend of Zelda: Ocarina of Time [100%] by axellarsen - #ESASummer24
5XNMmD_GN9w,1510,Timeline [Any%] by havrd - #ESASummerOnline
hcc42dfRq00,1153,Alice in Wonderdream [Any%] by LattMackey - #ESASummerOnline
JsRgLHd1NnA,2716,Castlevania III: Dracula's Curse [Grant] by KutsuSheeta - #ESASummerOnline
ALKx55LTaxg,1391,Hitman: Blood Money [Showcase] by TheKotti - #ESASummer24
Un2dIscpNcw,3446,Hotline Miami 2: Wrong Number [Hard Mode] by jackyrite - #ESASummer24
68GEfP2Cm4g,4703,"South Park: Snow Day! [All Chapters] by texan_red_wolf, SweedOla and Streetbackguy - #ESASummer24"
jxyKfcffCEA,5792,Batman: Arkham City [Any%] by Xoneris - #ESASummerOnline
Hyq9nQofrLc,906,Umihara Kawase [Longest Path] by NitrozSR - #ESASummer24
djAHYBJJJhk,1336,GeoGuessr [Chatguessr] by havrd - #ESASummer21
ge0PS_9BjAo,3500,Soul of the Samurai [Any% True Ending] by vojtas131 and Aeshmah_ - #ESASummer24
VFZvjz_AOtw,1634,Jet Set Willy [Any%] by DigitalDuck - #ESASummerOnline
C4sJWOJrU0g,858,Pepsiman: The Forbidden Drink [All Endings] by UnFantasmaMas - #ESASummerOnline
pu9MvTmnvEU,1809,"Resogun [Acis-Mefitis (Any%, Experienced)] by Asuka424 - #ESASummerOnline"
-c3CPPjiwVc,1250,Rugrats: Adventures in Gameland [Any%] by ApolloSmug and JkL0ser - #ESASummer25
Z4QMsiYf_Hw,3203,Mario vs. Donkey Kong [Any%] by ViolinSR - #ESASummerOnline
Onxoo98RtlA,5661,Clock Tower 3 [Normal Mode] by DemonicRobots - #ESASummerOnline
hh_QE8KtojM,551,Wild Animal Sports Day [Any%] by epicdudeguy - #ESASummer21
aZ_EKcEJHlg,2018,Battletoads [Any% Warpless] by TheMexicanRunner - #ESASummerOnline
0Hi7BHz4IB0,1572,Refunct [All Main Categories (No Low%)] by sladke - #ESASummerOnline
fUA3GRdFjHw,1382,Bishoujo senshi sailor moon [Easy] by JkL0ser - #ESASummer24
XhITcOeExB0,6152,Fallout 3 [All DLCs] by NoobSalmon - #ESASummerOnline
JAvxFq0wrwA,3608,Sonic Mania [Sonic & Tails (Good Ending)] by Argick - #ESASummerOnline
UcWK7zUHlsY,3731,ActRaiser [Any%] by sYn - #ESASummer24
nxBCjbZZ6CE,2664,"Star Wars: Jedi Knight - Jedi Academy [Any% (No Stab Launch, Relay Race)] - #ESASummer21"
Z8dvc6JUjP8,4336,Tomb Raider [Any%] by Beckski93 - #ESASummerOnline
