Scheduled;Game;Players;Platform;Category;Categories;Twitch;Time;Event;Youtube
2020-07-25T16:57:00+02:00;Valley;[TheRedSock](https://www.twitch.tv/theredsock);PC;All Suit Events;;;0:24:33;ESA 2020 Summer Online;O7OjuJ_yrhI
2020-07-25T23:00:00+02:00;Bloodborne;[Ahady](https://www.twitch.tv/ahady);PS4;All Bosses;;;1:16:00;ESA 2020 Summer Online;CBIq5ghS85A
2020-07-26T07:27:00+02:00;Layers of Fear;[Clendaria](https://www.twitch.tv/clendaria);PC;Any%;;;0:38:26;ESA 2020 Summer Online;2g8D6A9uo2M
2020-07-27T03:26:00+02:00;King's Quest: Mask of Eternity;[chuckgrody](https://www.twitch.tv/chuckgrody);PC;Any%;;;0:46:34;ESA 2020 Summer Online;buTduIp0_w0
2020-07-27T12:48:00+02:00;Final Fantasy XIII;[Kayarune](https://www.twitch.tv/kayarune);PC;Any%;;;4:51:04;ESA 2020 Summer Online;f7sMTMmYK0o
2020-07-27T20:24:00+02:00;Awful Havrd Games;[havrd](https://www.twitch.tv/havrd);PC;Showcase;;;0:56:14;ESA 2020 Summer Online;FMylpFRAJWs
2020-07-28T00:47:00+02:00;A Bug's Life;[plywood_](https://www.twitch.tv/plywood_);PSTV;Any%;;;0:22:44;ESA 2020 Summer Online;tfhqHxhNEk4
2020-07-28T04:24:00+02:00;Metal Gear Solid;[dlimes13](https://www.twitch.tv/dlimes13);PSTV;All Bosses (Easy);;;1:21:33;ESA 2020 Summer Online;HYShftf3qaY
2020-07-28T22:19:00+02:00;Super Mario World;[akistolol](https://www.twitch.tv/akistolol);SNES;96 Exit;;;1:24:32;ESA 2020 Summer Online;FMLQoPdDyvE
2020-07-29T04:01:00+02:00;Scooby-Doo! Night of 100 Frights;[Jaxler1](https://www.twitch.tv/jaxler1);Gamecube;Any%;;;0:26:17;ESA 2020 Summer Online;3CbkvW5b71s
2020-07-29T14:00:00+02:00;World to the West;[SeductiveSpatula](https://www.twitch.tv/seductivespatula);PC;Any%;;;0:36:00;ESA 2020 Summer Online;Wb54nb4cJZM
2020-07-29T20:39:00+02:00;Whipseey and the Lost Atlas;[MoD366](https://www.twitch.tv/mod366);PC;Any%;;;0:15:55;ESA 2020 Summer Online;9Mqxz8N-cG0
2020-07-30T02:27:00+02:00;The Outer Worlds;[NoobSalmon](https://www.twitch.tv/noobsalmon);PC;Any% (Sun Ending);;;0:15:17;ESA 2020 Summer Online;s4NxPCmIUUo
2020-07-30T08:18:00+02:00;Kingdom Hearts Final Mix;[ViolinSR](https://www.twitch.tv/violinsr);PS4;Any% (Beginner);;;2:13:11;ESA 2020 Summer Online;nKmm2Lm1mGw
2020-07-30T19:45:00+02:00;Shaq Fu;[CountGooby](https://www.twitch.tv/countgooby);SNES;Story Mode (Easy);;;0:08:20;ESA 2020 Summer Online;D1_dZ-vn-do
2020-07-31T00:48:00+02:00;Pokémon Black;[Cosmolax](https://www.twitch.tv/cosmolax);Nintendo DS;Any%;;;3:35:26;ESA 2020 Summer Online;bon-Z_DsOIY
2020-07-31T12:26:00+02:00;Tomb Raider : The Angel of Darkness;[Plastic_Rainbow](https://www.twitch.tv/plastic_rainbow);PC;Better Than Glitchless;;;0:51:30;ESA 2020 Summer Online;LQTPQEwqhbA
2020-07-31T18:15:00+02:00;Super Smash Bros. 64;[Bubzia](https://www.twitch.tv/bubzia);N64;Break the Target (All Characters, Blindfolded);;;0:08:41;ESA 2020 Summer Online;WS3zqibbG3g
2020-08-01T06:26:00+02:00;Illusion of Gaia;[solarcell007](https://www.twitch.tv/solarcell007);SNES;100%;;;2:17:19;ESA 2020 Summer Online;-U-cEXWsRAU
2020-08-01T17:13:00+02:00;Pokémon Blue;[G3neziz](https://www.twitch.tv/g3neziz);GBP;Any% (No Save Corruption);;;0:18:23;ESA 2020 Summer Online;dKulNKkwIYQ
2020-08-01T21:21:00+02:00;The Legend of Zelda: A Link To The Past;[NilssonAlex92](https://www.twitch.tv/nilssonalex92) vs. [WaltherIV](https://www.twitch.tv/waltheriv);SNES;Randomizer (Crowd Control);;;1:58:57;ESA 2020 Summer Online;HBzY8_aha3Y
2020-08-02T03:19:00+02:00;The Swapper;[Zet](https://www.twitch.tv/zet237);PC;Any%;;;0:33:24;ESA 2020 Summer Online;_A1xPhdCIMo
2020-08-02T10:03:00+02:00;Edna & Harvey: The Breakout - Anniversary Edition;[Racooze](https://www.twitch.tv/racooze);PC;Any%;;;0:30:44;ESA 2020 Summer Online;oaJ4fryq2fU
2020-08-02T13:28:00+02:00;Jet Set Willy;[DigitalDuck](https://www.twitch.tv/digitalduck);ZX Spectrum;Any%;;;0:23:11;ESA 2020 Summer Online;VFZvjz_AOtw
2020-08-02T21:23:00+02:00;Super Mario 64;[Simply](https://www.twitch.tv/simply);N64;16 Star;;;0:17:16;ESA 2020 Summer Online;YsDfq_CmKHg
2020-07-24T17:01:00+02:00;Sonic Mania;[Argick](https://www.twitch.tv/argick);PC;Sonic & Tails (Good Ending);;;0:57:01;ESA 2020 Summer Online;JAvxFq0wrwA
2020-07-25T01:27:00+02:00;Super Mario Bros.;[SuperSonic71087](https://www.twitch.tv/supersonic71087);NES;Warpless;;;0:19:35;ESA 2020 Summer Online;PxN2-Dgkfb4
2020-07-25T06:55:00+02:00;Devil May Cry 5;[DECosmic](https://www.twitch.tv/decosmic);PC;Any% (Human);;;1:30:16;ESA 2020 Summer Online;2u3wwqYQICE
2020-07-25T17:36:00+02:00;Environmental Station Alpha;[Escheria](https://www.twitch.tv/escheria);PC;Any% (Standard, Inbounds);;;0:22:31;ESA 2020 Summer Online;-RJdW6yaV0M
2020-07-26T00:37:00+02:00;Sekiro: Shadows Die Twice;[danflesh111](https://www.twitch.tv/danflesh111);PC;All (Mini-)Bosses;;;1:31:28;ESA 2020 Summer Online;Uvs2xdpIetY
2020-07-26T08:25:00+02:00;Devastation;[The__VK](https://www.twitch.tv/the__vk);PC;Any%;;;0:52:25;ESA 2020 Summer Online;WT08ASPyuNM
2020-07-27T04:18:00+02:00;Parasite Eve;[RJsmangit](https://www.twitch.tv/rjsmangit);PSTV;New Game;;;2:54:09;ESA 2020 Summer Online;Nqszd_HB4Tg
2020-07-27T17:55:00+02:00;Taxi 3;[Ulvind](https://www.twitch.tv/ulvind);Gamecube;Mission Mode;;;0:29:38;ESA 2020 Summer Online;B8upzm4nCMw
2020-07-27T21:31:00+02:00;Bear Party: Adventure;[Timopy](https://www.twitch.tv/timopy);PC;Any%;;;0:24:23;ESA 2020 Summer Online;LqznkyAbIWU
2020-07-28T01:18:00+02:00;Sonic 3 & Knuckles Blue Spheres +;[BigJon](https://www.twitch.tv/bigjon);Genesis;All Perfects (Max Speed);;;0:27:23;ESA 2020 Summer Online;38dmArL0ifQ
2020-07-28T06:28:00+02:00;Valkyria Chronicles;[sniperdog147](https://www.twitch.tv/sniperdog147);PS4;NG+;;;1:23:46;ESA 2020 Summer Online;HPNjnRIti_s
