Scheduled;Game;Players;Platform;Category;Categories;Twitch;Time;Event;Youtube
2022-02-12T12:00:00+01:00;Golden Sun: Dark Dawn (PRE-SHOW START);[Plexa](https://www.twitch.tv/tl_Plexa);DS;Any%;;;4:16:43;ESA 2022 Winter;yw5QqZNsMUQ
2022-02-12T16:37:00+01:00;Silent Hill 4: The Room;[juh0rse](https://www.twitch.tv/juh0rse);PC;New Game;;;1:03:25;ESA 2022 Winter;egHud43HrUQ
2022-02-12T17:54:00+01:00;Dark Souls III;[siegbruh](https://www.twitch.tv/siegbruh);PC;All Bosses;;;1:33:15;ESA 2022 Winter;uwzYVoYHqhg
2022-02-12T19:46:00+01:00;Super Mario 64 Randomizer;[360chrism](https://www.twitch.tv/360chrism);WiiVC;70 Star (Non-Stop);;;0:40:07;ESA 2022 Winter;75m3EB9U9bE
2022-02-12T20:35:00+01:00;Super Captain Falcon 64;[Bubzia](https://www.twitch.tv/bubzia);N64;1 Star (Blindfolded);;;0:14:20;ESA 2022 Winter;v1V_XvQ7Ufk
2022-02-12T20:57:00+01:00;Sonic Colours Ultimate;[Argick](https://www.twitch.tv/argick);PC;Egg Shuttle;;;0:54:56;ESA 2022 Winter;9P9BiRiRBuE
2022-02-12T22:09:00+01:00;DANCERUSH STARDOM;[eijiken](https://www.twitch.tv/eijiken);Arcade;Dance Showcase;;;1:14:57;ESA 2022 Winter;Y67XdEGaAOk
2022-02-12T23:26:00+01:00;Mirror's Edge;[hekigan](https://www.twitch.tv/hekigan)|[Meteos_Probably](https://www.twitch.tv/meteos_probably);PC;Any% (2P1KBM);;;0:44:31;ESA 2022 Winter;TDa2ZF3EzTU
2022-02-13T00:23:00+01:00;Metroid Dread;[samura1man](https://www.twitch.tv/samura1man) vs. [karterfreak](https://www.twitch.tv/karterfreak);Switch;Any%;;;1:28:25;ESA 2022 Winter;TtEb1KV1YdE
2022-02-13T01:55:00+01:00;The Legend of Zelda: Wind Waker (PRE-SHOW END);[Linkus7](https://www.twitch.tv/linkus7);WiiU;Crowd Control;;;4:23:59;ESA 2022 Winter;bMY_54G_62g
2022-02-13T14:10:00+01:00;Grand Theft Auto: Vice City – The Definitive Edition;[kz_frew](https://www.twitch.tv/kz_frew);PC;Any%;;;0:56:38;ESA 2022 Winter;U80CaR1u7Bs
2022-02-13T15:20:00+01:00;Trackmania;[Rastats](https://www.twitch.tv/rastats);PC;Community Maps Showcase;;;1:01:45;ESA 2022 Winter;JNw5TPYuvPw
2022-02-13T16:40:00+01:00;BattleBlock Theater;[Paulister](https://www.twitch.tv/paulister);PC;Any% (No Skips, Normal, Weapons);;;1:21:37;ESA 2022 Winter;KCUij5bw0GI
2022-02-13T18:15:00+01:00;Super Sami Roll;[LoveBot](https://www.twitch.tv/lovebot);PC;Any% (Sami's Adventure);;;0:57:02;ESA 2022 Winter;spfvmWhBIFw
2022-02-13T19:37:00+01:00;The Legend of Zelda: A Link Between Worlds;[herreteman](https://www.twitch.tv/herreteman);3DS;Any%;;;1:35:27;ESA 2022 Winter;cRuRW9Rx4uE
2022-02-13T21:17:00+01:00;Typing of the Dead;[peaches](https://www.twitch.tv/peaches);PC;Any% (Default settings arcade);;;0:29:54;ESA 2022 Winter;HQZjW544m14
2022-02-13T21:57:00+01:00;MediEvil: Resurrection;[desa](https://www.twitch.tv/desa35);PlayStation P;Any%;;;0:39:16;ESA 2022 Winter;WfEsgkD2r7o
2022-02-13T23:02:00+01:00;Prince of Persia: The Sands of Time;[Jaka](https://www.twitch.tv/jakvrh1);PC;Any% (No Major Glitches);;;1:31:55;ESA 2022 Winter;ovAXM-MUT14
2022-02-14T00:47:00+01:00;Resident Evil (1996);[SHiiDO](https://www.twitch.tv/xshiidox);PC;Chris (Any%, No Major Glitches);;;0:40:45;ESA 2022 Winter;2GaIOMRsDD0
2022-02-14T01:39:00+01:00;Onimusha: Warlords;[Aeshmah](https://www.twitch.tv/aeshmah_);PlayStation 4 Pro;Any% (Ultimate);;;0:55:38;ESA 2022 Winter;I2xgZtzEddw
2022-02-14T02:49:00+01:00;Tomb Raider (2013);[Cadarev](https://www.twitch.tv/cadarev);PC;100%;;;2:24:48;ESA 2022 Winter;4eIzax7uSl8
2022-02-14T05:34:00+01:00;Lost Judgment;[rebeldragon95](https://www.twitch.tv/rebeldragon95);PlayStation 5;Any% (Easy);;;2:39:26;ESA 2022 Winter;Vgp0vELCx0Q
2022-02-14T08:29:00+01:00;Pikuniku;[GreenSnowDog](https://www.twitch.tv/greensnowdog);PC;Any%;;;0:41:20;ESA 2022 Winter;BDkWcfgpkcw
2022-02-14T09:44:00+01:00;LEGO Indiana Jones: The Original Adventures;[LaserTrap_](https://www.twitch.tv/lasertrap_);DS;Any% (No 0HP);;;1:46:30;ESA 2022 Winter;2FH7UBpxPe4
2022-02-14T11:49:00+01:00;LEGO The Hobbit;[captainpaxo6746](https://www.twitch.tv/captainpaxo6746);PC;Any% (Restricted, N0CUT5, Solo);;;0:26:48;ESA 2022 Winter;zyRx3jZXBF8
2022-02-14T12:32:00+01:00;Retro City Rampage;[Riekelt](https://www.twitch.tv/Riekelt);PC;Any%;;;1:09:47;ESA 2022 Winter;gIx_ZHH9Knw
2022-02-14T13:50:00+01:00;SYNTHETIK: Legion Rising;Bar0ti;PC;Any% (Last Defender);;;0:12:00;ESA 2022 Winter;c0ZIoZpvcUY
2022-02-14T14:15:00+01:00;Back 4 Blood;[Cropax](https://www.twitch.tv/cropax);PC;All Acts (Recruit);;;1:31:19;ESA 2022 Winter;EY777zf_3W8
