Scheduled;Game;Players;Platform;Category;Categories;Twitch;Time;Event;Youtube
2021-02-13T21:17:00+01:00;Mega Man X;[Clipper](https://www.twitch.tv/Clipper);SNES;100%;;;0:38:36;ESA 2021 Winter;aaHUhwK3hqI
2021-02-14T03:34:00+01:00;Control;[DemonicRobots](https://www.twitch.tv/DemonicRobots);PC;Any%;;;1:04:20;ESA 2021 Winter;JzhXQrjnCLk
2021-02-14T12:12:00+01:00;Jet Set Willy;[RuffledBricks](https://www.twitch.tv/RuffledBricks);ZX Spectrum;WRITETYPER;;;0:03:35;ESA 2021 Winter;WnH6lNuZfZo
2021-02-14T14:06:00+01:00;Ninja Gaiden Shadow;[ShuriBear](https://www.twitch.tv/ShuriBear);GB;Any%;;;0:13:33;ESA 2021 Winter;7pUQx4g9miA
2021-02-14T19:00:00+01:00;Spyro Reignited Trilogy - Spyro: Year of the Dragon;[NostTW](https://www.twitch.tv/NostTW);PC;Any%;;;1:01:19;ESA 2021 Winter;3-jfwiWbD38
2021-02-15T00:50:00+01:00;Katana ZERO;[Xerclipse](https://www.twitch.tv/Xerclipse);PC;All Stages;;;0:17:59;ESA 2021 Winter;oeDVHIt-TxA
2021-02-15T11:06:00+01:00;Clubhouse Games: 51 Worldwide Classics;[360Chrism](https://www.twitch.tv/360Chrism);Switch;Win All Games;;;1:58:57;ESA 2021 Winter;tdP43hdvl-M
2021-02-15T17:22:00+01:00;Mirror's Edge;[Meteos_Probably](https://www.twitch.tv/Meteos_Probably) vs. [BINGOBONGOS](https://www.twitch.tv/BINGOBONGOS);PC;Any% (Inbounds);;;0:46:32;ESA 2021 Winter;6Awm0ppy17g
2021-02-15T23:54:00+01:00;Dishonored 2;[DemonicRobots](https://www.twitch.tv/DemonicRobots);PC;Any%;;;0:32:11;ESA 2021 Winter;rRfGIVvFd4k
2021-02-16T07:21:00+01:00;Sonic 3D Blast;[KingRhodesTN](https://www.twitch.tv/KingRhodesTN);Sega Saturn;Best Ending;;;1:03:00;ESA 2021 Winter;gz8y5y3EB7k
2021-02-16T17:51:00+01:00;Jak 3;[ThaRixer](https://www.twitch.tv/ThaRixer);PS2;100%;;;4:06:45;ESA 2021 Winter;Tyi18dBgJ9c
2021-02-17T10:54:00+01:00;Squirm;[Reicha7](https://www.twitch.tv/Reicha7);PC;Any%;;;0:21:53;ESA 2021 Winter;X8OcKqJMmNQ
2021-02-17T21:10:00+01:00;Skate or Die;[janglestorm](https://www.twitch.tv/janglestorm);NES;Compete All;;;0:02:33;ESA 2021 Winter;kyZItq3V5IM
2021-02-18T00:04:00+01:00;Yakuza 3;[RebelDragon95](https://www.twitch.tv/RebelDragon95);PS5;Any% (Easy, Remastered);;;2:14:54;ESA 2021 Winter;fxAUw5Y_r6g
2021-02-18T09:57:00+01:00;Devil May Cry 2;[LonerHero](https://www.twitch.tv/LonerHero);PC;NG (Dante);;;0:48:13;ESA 2021 Winter;5aWsNTjSAdw
2021-02-18T16:55:00+01:00;The Outer Worlds;[LawyerBodoh](https://www.twitch.tv/LawyerBodoh);PC;Max Quests;;;2:10:30;ESA 2021 Winter;61ZM3YCqCtQ
2021-02-19T00:50:00+01:00;Mega Man Atari Demake;[BigJon](https://www.twitch.tv/BigJon);PC;Any%;;;0:35:18;ESA 2021 Winter;QbrJfgl8htY
2021-02-19T05:24:00+01:00;Unravel Two;[ms_rey](https://www.twitch.tv/ms_rey)|[ThisGuyAreSick](https://www.twitch.tv/ThisGuyAreSick);PC;Any% (No Major Skips, Co-op);;;1:05:00;ESA 2021 Winter;YwGM9OMQEXM
2021-02-19T17:01:00+01:00;Nioh 2 - The Complete Edition;[AxelSanGo](https://www.twitch.tv/AxelSanGo);PC;All Main Missions (w/ DLC, Featherless);;;2:54:41;ESA 2021 Winter;7dU2gM7xAxc
2021-02-20T12:59:00+01:00;Be-Music Source;[Chazoshtare](https://www.twitch.tv/Chazoshtare)|[beachsidebunny](https://www.twitch.tv/beachsidebunny);PC;Single & Double Play Exhibition;;;0:23:54;ESA 2021 Winter;0yHSdx07WQw
2021-02-20T19:32:00+01:00;Castlevania: Rondo of Blood;[LattMackey](https://www.twitch.tv/LattMackey);TurboGrafx-16;Maria Only;;;0:18:28;ESA 2021 Winter;K9l8ZF9DOsY
2021-02-21T00:13:00+01:00;Sonic the Hedgehog (1991);[SuperSonic_](https://www.twitch.tv/SuperSonic_);Genesis;Glitchless;;;0:22:11;ESA 2021 Winter;v6mZ6XujLN4
2021-02-21T05:30:00+01:00;Bowser's Fury;[Samura1man](https://www.twitch.tv/Samura1man);Switch;Any%;;;0:42:35;ESA 2021 Winter;E3tbL_iMz8Q
2021-02-13T16:50:00+01:00;Minecraft;[Juh0rse](https://www.twitch.tv/Juh0rse);PC;Any% (1.16, Random Seed, Glitchless);;;1:00:50;ESA 2021 Winter;m2zxxMj3glk
2021-02-13T22:04:00+01:00;Super Mario 64;[Bubzia](https://www.twitch.tv/Bubzia);Wii VC;16 Star (Blindfolded);;;0:31:50;ESA 2021 Winter;jQMbfm75Uf4
2021-02-14T05:01:00+01:00;Metal Gear Solid: Peace Walker;[Jaguar_King](https://www.twitch.tv/Jaguar_King);Xbox One;First Ending (S-Rank);;;1:59:22;ESA 2021 Winter;NcDim0pV4ic
2021-02-14T12:16:00+01:00;Dizzy: Prince of the Yolkfolk;[TinyTim78](https://www.twitch.tv/TinyTim78);ZX Spectrum;Any%;;;0:15:49;ESA 2021 Winter;1jlztGKQbSQ
2021-02-14T14:28:00+01:00;Maui Mallard in Cold Shadow;[Kirthar](https://www.twitch.tv/Kirthar);PC;Any%;;;0:17:15;ESA 2021 Winter;5fESfN4QVtY
2021-02-14T20:12:00+01:00;The Legend of Zelda: Link's Awakening (2019);[Strackel](https://www.twitch.tv/Strackel) vs. [Miniretin](https://www.twitch.tv/Miniretin);Switch;Any%;;;1:15:10;ESA 2021 Winter;i2AF9Oj3v8g
2021-02-15T01:18:00+01:00;Bloodstained: Curse of the Moon 2;[TheBlacktastic](https://www.twitch.tv/TheBlacktastic);PC;Episode 1 (Ultimate);;;0:28:13;ESA 2021 Winter;8I9V7_RHKM4
2021-02-15T13:23:00+01:00;Super Cable Boy;[BoneyC](https://www.twitch.tv/BoneyC);PC;Any%;;;0:41:51;ESA 2021 Winter;cwbC-HwZwwI
2021-02-15T18:19:00+01:00;Ghostrunner;[7rayD](https://www.twitch.tv/7rayD);PC;Any% (Inbounds);;;0:44:00;ESA 2021 Winter;9AhqfdQkYK0
2021-02-16T00:41:00+01:00;Shadow of the Colossus (2018);[Incep_Sean](https://www.twitch.tv/Incep_Sean);PS4;Any% (Normal);;;1:21:29;ESA 2021 Winter;slwCEQokCNA
2021-02-16T08:26:00+01:00;Judgment;[Froob](https://www.twitch.tv/Froob);PS5;Any%;;;5:25:04;ESA 2021 Winter;tCLVdb8hvZQ
2021-02-16T22:23:00+01:00;Pokémon X;[wartab](https://www.twitch.tv/wartab);Nintendo 3DS;Any%;;;3:54:04;ESA 2021 Winter;s-Ovo4qQb20
2021-02-17T11:26:00+01:00;Shining Force II;[BOWIEtheHERO](https://www.twitch.tv/BOWIEtheHERO);Genesis;Any%;;;5:59:21;ESA 2021 Winter;0EqXCCo4GrA
2021-02-17T21:22:00+01:00;911 Fire Rescue;[Kainalo](https://www.twitch.tv/Kainalo);PC;All Missions;;;0:33:28;ESA 2021 Winter;7NLPMtROrJo
2021-02-18T02:46:00+01:00;SAW: The Game;[Juh0rse](https://www.twitch.tv/Juh0rse);PC;Any%;;;1:01:36;ESA 2021 Winter;5Ke-F6_q7oI
2021-02-18T11:01:00+01:00;Crash: Mind Over Mutant;[CDRomatron](https://www.twitch.tv/CDRomatron);Xbox 360;Any%;;;0:35:56;ESA 2021 Winter;3rwsAvQbmOE
2021-02-18T19:12:00+01:00;Fallout 3;[Jabo](https://www.twitch.tv/Jabo);PC;All Quests (w/ DLC) & Bobbleheads;;;3:06:57;ESA 2021 Winter;2ZckF5PXeIk
2021-02-19T02:14:00+01:00;Splatterhouse;[LattMackey](https://www.twitch.tv/LattMackey);TurboGrafx-16;Any%;;;0:15:12;ESA 2021 Winter;disuqtsmJ0Q
2021-02-19T06:36:00+01:00;Bee Movie Game;[BlackbeltGingaNinja](https://www.twitch.tv/BlackbeltGingaNinja);PC;Any%;;;2:06:16;ESA 2021 Winter;2kh198FciUA
2021-02-19T20:08:00+01:00;Final Fantasy VII Remake;[Royzoga](https://www.twitch.tv/Royzoga);PS4;Any% (Easy);;;5:06:00;ESA 2021 Winter;3xDgXqzz5mU
