Scheduled;Game;Players;Platform;Category;Categories;Twitch;Time;Event
Thu 22 Feb 2018 23:35:00 +0100;[Pokémon Colosseum](https://www.speedrun.com/pkmncolosseum#Any);[Retrotato](https://www.twitch.tv/Retrotato);GameCube;Any%;;231857557;4:19:01;ESA 2018 Winter
Fri 23 Feb 2018 04:10:00 +0100;[Zelda: The Wand of Gamelon](https://www.speedrun.com/wandofgamelon#Any);[Tompa](https://www.twitch.tv/Tompa);CD-i;Any% cutscenes;;231882846;0:56:53;ESA 2018 Winter
Fri 23 Feb 2018 05:20:00 +0100;[The Getaway: Black Monday](https://www.speedrun.com/getaway_bm);[zoton2](https://www.twitch.tv/zoton2);PS2;NG+;;231899576;1:59:42;ESA 2018 Winter
Fri 23 Feb 2018 07:40:00 +0100;[Kingdom Hearts II Final Mix HD](https://www.speedrun.com/kh2fmhd#All_Worlds);[IrregularJinny](https://www.twitch.tv/IrregularJinny);PS4;All Worlds;;232054201;5:02:31;ESA 2018 Winter
Fri 23 Feb 2018 12:50:00 +0100;[Might & Magic: Clash of Heroes HD](https://www.speedrun.com/cohhd/Anwen);[Wiredwicky](https://www.twitch.tv/wiredwicky);PC;Any% Anwen;;231978874;0:41:09;ESA 2018 Winter
Fri 23 Feb 2018 14:25:00 +0100;[Heroes of Might and Magic](https://www.speedrun.com/hommii);[EdenalSDA](https://www.twitch.tv/edenalsda);PC;Good Campaign;;232015876;2:24:41;ESA 2018 Winter
Fri 23 Feb 2018 17:05:00 +0100;[Streets of Rage I (16-bit)];[GreenalinkSDA](https://www.twitch.tv/GreenalinkSDA);Sega Genesis;Axel Easy;;232067012;0:27:46;ESA 2018 Winter
Fri 23 Feb 2018 17:43:00 +0100;[Metal Gear Solid V: The Phantom Pain](https://www.speedrun.com/mgsv#Any_Chapter_1);[Metsametsa](https://www.twitch.tv/metsametsa);PC;Any% First Ending;;232069059;2:26:54;ESA 2018 Winter
Fri 23 Feb 2018 20:43:00 +0100;[South Park: The Fractured But Whole](https://www.speedrun.com/sp_fbw);[Firepawlz](https://www.twitch.tv/firepawlz);PC;Any%;;232143493;4:12:03;ESA 2018 Winter
Sat 24 Feb 2018 01:08:00 +0100;[Postal 2: Paradise Lost](https://www.speedrun.com/Postal_2_Paradise_Lost#Any_Enhanced_Mode);[Truljin](https://www.twitch.tv/truljin);PC;Any% (Enchanced Mode);;232164240;0:53:45;ESA 2018 Winter
Sat 24 Feb 2018 02:13:00 +0100;[Blossom Tales: The Sleeping King](https://www.speedrun.com/Blossom_Tales_The_Sleeping_King);[Wiredwicky](https://www.twitch.tv/wiredwicky);Switch;Any% No Save and Quit;;232176614;0:26:09;ESA 2018 Winter
Sat 24 Feb 2018 02:53:00 +0100;[Pokémon Red](https://www.speedrun.com/pkmnredblue);[AEtienneTV](https://www.twitch.tv/honneursectiondark);GBA;Any% Glitchless;;232222980;2:09:59;ESA 2018 Winter
Sat 24 Feb 2018 05:03:01 +0100;[ICEY](https://www.speedrun.com/ICEY#NG%2B_Judas_Ending);[AEtienneTV](https://www.twitch.tv/honneursectiondark);PC;NG+ Judas Ending;;232229045;0:13:53;ESA 2018 Winter
Sat 24 Feb 2018 05:28:01 +0100;[Ragnarok Battle Offline](https://www.speedrun.com/rbo);[KennyMan666](https://www.twitch.tv/kennyman666);PC;F-Swordman;;232253601;1:21:21;ESA 2018 Winter
Sat 24 Feb 2018 07:13:01 +0100;[Minecraft](http://minecraftbingo.com/);[eTholon](https://www.twitch.tv/etholon)vs.[Joshimuz](https://www.twitch.tv/joshimuz);PC;Bingo Race (Normal);Race;232268576;1:02:44;ESA 2018 Winter
Sat 24 Feb 2018 08:23:01 +0100;Dungeons & Dragons 5th Edition (Bloody Snow);DM[Firepawlz](https://www.twitch.tv/firepawlz)+5Victims;Paper;TPK%;;232319480;4:34:42;ESA 2018 Winter
Sat 24 Feb 2018 13:36:02 +0100;[Yono and the Celestial Elephants](https://www.speedrun.com/yono#Max_Health);[Truljin](https://www.twitch.tv/truljin);PC;Max Health;;232335331;1:01:52;ESA 2018 Winter
Sat 24 Feb 2018 14:46:02 +0100;[Pokémon Crystal](https://www.speedrun.com/pkmncrystal);[Retrotato](https://www.twitch.tv/Retrotato);GameBoy Player;Any% Glitchless;;232323935?t=46m33s;3:40:15;ESA 2018 Winter
Sat 24 Feb 2018 18:41:02 +0100;[Super Mario Odyssey](https://www.speedrun.com/smo);[IrregularJinny](https://www.twitch.tv/IrregularJinny);Switch;Any%;;232452473;1:39:22;ESA 2018 Winter
Sat 24 Feb 2018 21:22:02 +0100;[Puyo Puyo Tetris];[Maral](https://www.twitch.tv/maral)|[AnnieFuchsia](https://www.twitch.tv/anniefuchsia)|[Psychobunny](https://www.twitch.tv/psychobunny)|[Michi](https://www.twitch.tv/michi);Switch;EVENT%;;232477036;0:56:35;ESA 2018 Winter
