Scheduled;Game;Players;Platform;Category;Categories;Twitch;Time;Event;Youtube
2024-02-18T12:00:00+01:00;Captain Toad: Treasure Tracker;[GreenSnowDog](https://twitch.tv/GreenSnowDog);Switch;Any%;;;1:53:38;ESA 2024 Winter (Two);DipNM1xrrLQ
2024-02-19T00:00:00+01:00;Mirror's Edge;[Eris](https://twitch.tv/Erisrine);PC;100%;;;0:51:21;ESA 2024 Winter (Two);2v-7rNS1Z0g
2024-02-19T14:10:00+01:00;Castlevania: Portrait of Ruin;[diagongdx](https://twitch.tv/diagongdx);DS;All Bosses (Jonathan / Charlotte);;;0:57:58;ESA 2024 Winter (Two);NzSRxCy7B4Y
2024-02-19T23:44:00+01:00;A Bug’s Life;[Destabilize](https://www.twitch.tv/destabilize_);PC;Any%;;;0:19:40;ESA 2024 Winter (Two);4FReeiCMY9I
2024-02-20T17:15:00+01:00;The Legend of Zelda: The Minish Cap;[atxmartin](https://twitch.tv/atxmartin);Switch;100%;;;4:02:55;ESA 2024 Winter (Two);HCcgfoy0yl0
2024-02-21T11:35:00+01:00;Fantasy World Dizzy;[TinyTim78](https://twitch.tv/TinyTim78);ZXSpectrum;Any%;;;0:16:17;ESA 2024 Winter (Two);QRulVKOKbOk
2024-02-21T17:55:00+01:00;Golden Sun 3: Dark Dawn;[legrandgrand](https://twitch.tv/legrandgrand);DS;Any%;;;5:01:59;ESA 2024 Winter (Two);Q1gmOQKTXfQ
2024-02-22T13:32:00+01:00;Yakuza 3 Remastered;[rebeldragon95](https://twitch.tv/rebeldragon95);PlayStation 5;Any% (Easy);;;2:15:42;ESA 2024 Winter (Two);s3jkWooo5fs
2024-02-23T19:10:00+01:00;Deus Ex: Mankind Divided;[heinki](https://twitch.tv/heinki);PC;Any%;;;0:09:00;ESA 2024 Winter (Two);G-8TnmPLYgg
2024-02-24T12:35:00+01:00;System Shock (Remake);[SuiMachine](https://twitch.tv/SuiMachine);PC;Any%;;;0:27:21;ESA 2024 Winter (Two);1kk3R0KgL9s
2024-02-18T14:18:00+01:00;Shin Megami Tensei: Persona;[Lonne](https://www.twitch.tv/lonnesurvivor);PlayStation TV;SEBEC;;;4:26:36;ESA 2024 Winter (Two);Gv6Dz71QwtY
2024-02-19T01:05:00+01:00;Yono and the Celestial Elephants;[JazzY](https://twitch.tv/JazzY);PC;Reverse Boss Order;;;0:34:04;ESA 2024 Winter (Two);TlAIhK-8Kik
2024-02-19T15:25:00+01:00;Tobari and the Night of the Curious Moon;[Leonmachar](https://twitch.tv/Leonmachar);PC;Any% (Normal Ending);;;1:00:00;ESA 2024 Winter (Two);N1kbqXlKzjk
2024-02-20T00:13:00+01:00;Ratatouille;[TheMahr](https://twitch.tv/TheMahr);PC;No Levels Early;;;0:39:43;ESA 2024 Winter (Two);ySdD6PfppQE
2024-02-20T21:40:00+01:00;Pokémon: Diamond/Pearl;[Rubentus](https://twitch.tv/Rubentus);DS;Any%;;;1:01:20;ESA 2024 Winter (Two);IbeG2_G0sgo
2024-02-21T12:10:00+01:00;The Guardian Legend;[vaxherd](https://twitch.tv/vaxherd);NES;Any%;;;1:03:01;ESA 2024 Winter (Two);SzIkF0wvme4
2024-02-21T23:05:00+01:00;The Simpsons: Hit & Run;[LCplFalco](https://twitch.tv/LCplFalco);PC;No Mission Warps;;;1:54:20;ESA 2024 Winter (Two);wtsmyU76bL8
2024-02-22T16:07:00+01:00;Inscryption;[bersekrer](https://twitch.tv/bersekrer);PC;Any% (Unrestricted);;;1:22:10;ESA 2024 Winter (Two);u7VOzmBn0rU
2024-02-22T21:54:00+01:00;Contrast;[tohelot](https://twitch.tv/tohelot);PC;Any%;;;0:12:29;ESA 2024 Winter (Two);eDgCtwwmuZ8
2024-02-23T20:20:00+01:00;Final Fantasy XIV;[Mizzow](https://www.twitch.tv/mrmizzow);PC;Eureka Orthos (Solo, Floors 81-100);;;1:45:59;ESA 2024 Winter (Two);6fVIXlVbXBU
2024-02-24T13:26:00+01:00;Pokémon Scarlet/Violet;[crisisaurus](https://twitch.tv/crisisaurus);Switch;Teal Mask;;;1:45:39;ESA 2024 Winter (Two);bm24QL8wWlA
