Scheduled;Game;Players;Platform;Category;Categories;Twitch;Time;Event;Youtube
2022-07-23T19:25:00+02:00;Home Alone;[Apollo22237](https://www.twitch.tv/Apollo22237);NES;Showcase Challenge Run;;;0:19:58;ESA 2022 Summer (One);TNinerc_WNU
2022-07-24T01:31:00+02:00;Sonic Lost World;[Gordon_Ramsay](https://www.twitch.tv/gordinramsay);PC;Any% (Wingless);;;1:22:16;ESA 2022 Summer (One);T0NAxtDNOVg
2022-07-24T13:33:00+02:00;Xenoblade Chronicles: Future Connected;[rebeldragon95](https://www.twitch.tv/rebeldragon95);Switch;Any% (Casual Mode);;;0:35:50;ESA 2022 Summer (One);lORZYJ9fOjo
2022-07-24T20:11:00+02:00;Hades;[OckE](https://www.twitch.tv/ocke93) vs. [webs2d](https://www.twitch.tv/webs2d);PC;3 Weapons;;;0:46:16;ESA 2022 Summer (One);hBs7D0qh52o
2022-07-25T05:41:00+02:00;Worms Armageddon;[RuffledBricks](https://www.twitch.tv/RuffledBricks);PC;All Missions (Any%);;;1:13:28;ESA 2022 Summer (One);3jVqQ2N8aGE
2022-07-25T13:08:00+02:00;Metroid Dread;[Samura1man](https://www.twitch.tv/Samura1man);Switch;Survival Boss Rush;;;0:28:57;ESA 2022 Summer (One);1W96igZRIlI
2022-07-25T18:56:00+02:00;Snake Rattle N Roll;[dxtr](https://www.twitch.tv/dxtr);NES;Any%;;;0:07:16;ESA 2022 Summer (One);iZjDX0kji2s
2022-07-25T21:42:00+02:00;McDonald's Treasure Land Adventure;[Grumpmeister](https://www.twitch.tv/Grumpmeister);Genesis;Beginner (NTSC);;;0:24:05;ESA 2022 Summer (One);jcx5h-Iwq3E
2022-07-26T02:46:00+02:00;Half-Life 2;[maltemller](https://www.twitch.tv/maltemller);PC;Any% (No Voidclip);;;0:51:48;ESA 2022 Summer (One);MEaESfYj97o
2022-07-26T15:11:00+02:00;EyeToy: Play 2;[tharixer](https://www.twitch.tv/tharixer) & Friends;PlayStation 2;Exhibition;;;1:15:58;ESA 2022 Summer (One);3Jdqx6RrX8o
2022-07-26T23:56:00+02:00;DOOM (2016);[henyK](https://www.twitch.tv/henyk);PC;Any% (Classic);;;0:40:08;ESA 2022 Summer (One);i5n8-M5zI_8
2022-07-27T05:16:00+02:00;Pokémon XD: Gale of Darkness;[Evanicia](https://www.twitch.tv/Evanicia);GCN;Any%;;;4:41:30;ESA 2022 Summer (One);bXdOlrLJS04
2022-07-27T22:36:00+02:00;Hitman: Blood Money;[thekotti](https://www.twitch.tv/thekotti);PC;Silent Assassin;;;0:40:03;ESA 2022 Summer (One);AadcRp3CKLM
2022-07-28T11:00:00+02:00;Grand Theft Auto V;[hossel](https://www.twitch.tv/hossel_);PC;Any% (Classic);;;6:15:23;ESA 2022 Summer (One);XGBojArkEZ4
