Scheduled;Game;Players;Platform;Category;Categories;Twitch;Time;Event;Youtube
Thu 16 Aug 2012 15:00:00 +0200;DuckTales;Dxtr|Frezy_Man;;Any% Difficult Race;Race;;0:08:23;ESA 2012;9NmprMxv-tE
Thu 16 Aug 2012 15:09:00 +0200;DuckTales 2;Dxtr|Frezy_Man;;Any% Difficult Race;Race;;0:10:56;ESA 2012;1JHHOFLrlIo
Thu 16 Aug 2012 15:30:00 +0200;Chip 'N' Dale: Rescue Rangers;Dxtr|Frezy_Man;;Any% Race;Race;;0:11:15;ESA 2012;HMObxAcoC20
Thu 16 Aug 2012 15:50:00 +0200;The Lion King;Frezy_Man;;Any% Easy;;;0:18:25;ESA 2012;5zi21k6kHCg
Thu 16 Aug 2012 16:10:00 +0200;World of Illusion;Edenal;;Mickey;;;0:17:17;ESA 2012;umWykCVSK4s
Thu 16 Aug 2012 16:35:00 +0200;Realm;WERY;;Any%;;;0:23:59;ESA 2012;djj3B2JUsW4
Thu 16 Aug 2012 17:05:00 +0200;Crash Twinsanity;Synj;;Any%;;;1:09:21;ESA 2012;Wrr-eydCdio
Thu 16 Aug 2012 18:56:00 +0200;Super Mario Kart;Frezy_Man;;Mushroom ;;;0:18:49;ESA 2012;X_eWnswXKQo
Thu 16 Aug 2012 19:24:00 +0200;Scott Pilgrim vs. The World: The Game;Kennyman666;;NG+;;;0:51:51;ESA 2012;jofzAGrit90
Thu 16 Aug 2012 20:55:00 +0200;Battletoads;Dxtr;;Any% No WW;;;0:24:38;ESA 2012;pXN3Oo5k9Og
Thu 16 Aug 2012 21:25:00 +0200;Batman: Return of the Joker;WERY;;Any%;;;0:17:26;ESA 2012;95UnPLLAxMo
Thu 16 Aug 2012 21:50:00 +0200;Batman: Arkham Asylum;RoboSparkle;;Any% Easy;;;2:24:06;ESA 2012;F6CPlbMSDUw
Fri 17 Aug 2012 00:10:00 +0200;Castlevania;Dxtr;;Any%;;;0:14:14;ESA 2012;9y531P0Cu9Y
Fri 17 Aug 2012 00:40:00 +0200;Castlevania: Symphony of the Night;Ozzy88;;Richter All Bosses;;;0:40:30;ESA 2012;RMCJexJGhB4
Fri 17 Aug 2012 01:25:00 +0200;Resident Evil 2;Carcinogen;;Claire B;;;0:58:50;ESA 2012;Wp1NEsY6rqE
Fri 17 Aug 2012 02:30:00 +0200;The Goonies;WERY;;Any%;;;0:19:17;ESA 2012;iVBJCzso2Yo
Fri 17 Aug 2012 02:55:00 +0200;Sonic the Hedgehog 3 ;TimpZ;;Tails;;;0:50:15;ESA 2012;765MBYlJAho
Fri 17 Aug 2012 04:05:00 +0200;Metroid;Dxtr;;Any% Warpless;;;0:22:24;ESA 2012;4tYun0txeIE
Fri 17 Aug 2012 04:35:00 +0200;Super Metroid;Kottpower;;Any% NMG;;;0:55:29;ESA 2012;gfNpiJdm1Ng
Fri 17 Aug 2012 05:55:00 +0200;Metroid Prime;A-M|Dalfen;;Any% Race;Race;;1:48:49;ESA 2012;3hg0EhcqTjQ
Fri 17 Aug 2012 07:20:00 +0200;Donkey Kong Country;Tompa;;101%;;;0:53:52;ESA 2012;EHVSu_o4wNE
Fri 17 Aug 2012 08:55:00 +0200;Batman: Arkham City;RoboSparkle;;Any% Hard w/ Cat;;;3:09:55;ESA 2012;cswnMEkwfkI
Fri 17 Aug 2012 12:20:00 +0200;Duo Princess;Kennyman666;;Any% Mint;;;0:14:42;ESA 2012;BAGeaReawIc
Fri 17 Aug 2012 12:40:00 +0200;Penumbra: Overture;Kotti;;Any%;;;0:26:20;ESA 2012;sSHPES9V05Q
Fri 17 Aug 2012 13:00:00 +0200;Penumbra: Black Plague;Kotti;;Any%;;;0:27:47;ESA 2012;UiqQoaqyhqM
Fri 17 Aug 2012 13:20:00 +0200;Penumbra: Requiem;Kotti;;Any%;;;0:22:13;ESA 2012;F6VSVVmyHls
Fri 17 Aug 2012 14:10:00 +0200;Hitman: Blood Money;Kotti;;PRO/SA;;;0:48:43;ESA 2012;51wuHStIBRI
Fri 17 Aug 2012 15:10:00 +0200;Contra;Frezy_Man;;Any%;;;0:10:35;ESA 2012;GcAS9plTyVo
Fri 17 Aug 2012 15:30:00 +0200;Super C;Frezy_Man;;Any%;;;0:15:37;ESA 2012;4bxqedZzNzI
Fri 17 Aug 2012 15:50:00 +0200;Shadowgate;Crippe|Niss3;;Glitchless Race;Race;;0:16:08;ESA 2012;bNtABG-0Nx0
Fri 17 Aug 2012 17:10:00 +0200;Spyro 2;Neviutz|Synj|Cyprys|RoboSparkle;;40 Orb Race;;;1:22:00;ESA 2012;xjtSwsec2V8
Fri 17 Aug 2012 19:10:00 +0200;Rygar;Arctic_Eagle|WERY;;Any% No WW Race;Race;;0:27:17;ESA 2012;SqQIk88GlZc
Fri 17 Aug 2012 19:55:00 +0200;James Pond;RoboSparkle;;Any%;;;0:24:28;ESA 2012;T-cyKBzxIKA
Fri 17 Aug 2012 20:55:00 +0200;James Pond 2;RoboSparkle;;Any%;;;0:33:43;ESA 2012;wFjlhXcevls
Fri 17 Aug 2012 20:15:00 +0200;James Pond 3;RoboSparkle;;Any%;;;1:10:41;ESA 2012;lO3581ZzbNs
Sat 18 Aug 2012 02:45:00 +0200;Zelda II;Pro_JN|Arctic_Eagle;;100% All Keys 1CC Race;Race;;1:30:13;ESA 2012;QOoYykeDKNA
Sat 18 Aug 2012 02:46:00 +0200;Zelda II: The Adventure of Link;Arctic_Eagle;;No OoB;;;1:16:09;ESA 2012;ZmfKBCze6VU
Sat 18 Aug 2012 04:40:00 +0200;Zelda: Oracle of Seasons;Tompa;;Any%;;;2:14:30;ESA 2012;W-wwwspxUwY
Sat 18 Aug 2012 06:50:00 +0200;Zelda: Ocarina of Time;A-M;;Any%;;;0:24:40;ESA 2012;MGY-6ErEjz0
Sat 18 Aug 2012 08:40:00 +0200;Mega Man 2;Frezy_Man|Arwa;;Any% Normal Race;Race;;0:32:40;ESA 2012;EksZ9gcSBLY
Sat 18 Aug 2012 09:25:00 +0200;Mega Man 3;Frezy_Man;;Any%;;;0:39:51;ESA 2012;Im8i4mU2r_o
Sat 18 Aug 2012 10:15:00 +0200;Tiny Toon Adventures: Buster Busts Loose!;Edenal;;Normal;;;0:27:13;ESA 2012;nQjRu_ZDbz8
Sat 18 Aug 2012 10:45:00 +0200;Mega Man X3;IrregularJinny;;100%;;;0:57:24;ESA 2012;j1yLfFs9Ob8
Sat 18 Aug 2012 11:15:00 +0200;Spyro 2: Ripto's Rage!;Cyprys;;100%;;;2:25:20;ESA 2012;Kcfr3EWgnIQ
Sat 18 Aug 2012 13:30:00 +0200;Mega Man X;IrregularJinny|Frezy_Man;;100% Race;;;0:39:11;ESA 2012;ysJoOuZKojk
Sat 18 Aug 2012 14:20:00 +0200;Mega Man X2;Frezy_Man|IrregularJinny;;100% Race;;;0:44:19;ESA 2012;gs-n9wTQd_g
Sat 18 Aug 2012 16:10:00 +0200;Mario Kart: Double Dash!!;2 Runners;;All Cup Tour Race;Race;;0:42:02;ESA 2012;vxii1kphoeU
Sat 18 Aug 2012 17:10:00 +0200;Kung Fu;Frezy_Man;;Game A;;;0:04:23;ESA 2012;vWQD1ko6xFs
Sat 18 Aug 2012 17:20:00 +0200;Ninja Gaiden;Arctic_Eagle|Dxtr;;Any% Race;Race;;0:13:39;ESA 2012;rqsvGt1GCtA
Sat 18 Aug 2012 17:40:00 +0200;Hudson's Adventure Island;Ktwo;;Any%;;;0:50:07;ESA 2012;K1sDdV-WkZM
Sat 18 Aug 2012 18:40:00 +0200;Power Blade;Crippe;;Any% Normal;;;0:27:30;ESA 2012;RVarvEV0wkA
Sat 18 Aug 2012 19:10:00 +0200;TMNT II: The Arcade Game;Frezy_Man;;Any%;;;0:39:09;ESA 2012;qs2GtFU9FHA
Sat 18 Aug 2012 20:25:00 +0200;Trojan;Dxtr;;Beat the Game;;;0:07:14;ESA 2012;53muqZUKZvg
Sat 18 Aug 2012 20:35:00 +0200;Solomon's Key;Ktwo;;Best Ending Warpless;;;0:37:38;ESA 2012;XUmpqcjio1s
Sat 18 Aug 2012 21:25:00 +0200;Ghosts 'n' Goblins;Dxtr;;Any% 2 Loops;;;0:27:55;ESA 2012;vgUELaAGYrs
Sat 18 Aug 2012 22:00:00 +0200;Street Fighter 2010: The Final Fight;WERY;;Any%;;;0:24:46;ESA 2012;apKQJN0Fjnc
Sat 18 Aug 2012 22:35:00 +0200;Hebereke;Kennyman666;;100% Ufouria;;;0:52:04;ESA 2012;omonie-V0xs
Sat 18 Aug 2012 23:50:00 +0200;Rosenkreuzstilette;Dalfen;;Any% Tia;;;0:37:46;ESA 2012;gf6mT5HWC9w
Sun 19 Aug 2012 00:35:00 +0200;Catherine;Neviutz;;Story Normal;;;1:53:19;ESA 2012;SyzfUk7ChLo
Sun 19 Aug 2012 03:20:00 +0200;Wizards & Warriors III;Arwa;;100%;;;0:35:31;ESA 2012;o9sH66C-oTY
Sun 19 Aug 2012 04:10:00 +0200;North & South;Svenne;;Level 3 Difficulty;;;0:02:14;ESA 2012;GCHrTiyUZHI
Sun 19 Aug 2012 04:15:00 +0200;Gimmick!;Svenne;;Best Ending Glitchless;;;0:25:24;ESA 2012;kmQK5TUnK50
Sun 19 Aug 2012 04:50:00 +0200;Metal Storm;WERY;;Any%;;;0:15:31;ESA 2012;ZRRkdBVumwc
Sun 19 Aug 2012 05:15:00 +0200;Cobra Triangle;Ktwo;;Any%;;;0:22:55;ESA 2012;TmJyYEXc9pU
Sun 19 Aug 2012 05:50:00 +0200;Mega Bomberman;RoboSparkle;;Any%;;;0:48:29;ESA 2012;OiI1RTF4sAY
Sun 19 Aug 2012 06:00:00 +0200;Goof Troop;Alko|Edenal;;Co-op;Co-Op;;0:23:05;ESA 2012;fJ2DdfIEREE
Sun 19 Aug 2012 07:25:00 +0200;Journey;Synj;;Red Robe Any%;;;0:54:35;ESA 2012;5RNev7jAhY4
Sun 19 Aug 2012 08:45:00 +0200;Tetris Attack;Niss3;;Hard;;;0:11:19;ESA 2012;qLUZg8VVfBM
Sun 19 Aug 2012 09:05:00 +0200;Super Mario Bros.;Frezy_Man;;Warpless;;;0:25:56;ESA 2012;ryvIIpRJELE
Sun 19 Aug 2012 09:30:00 +0200;Super Mario Bros. 2;Dxtr|Svenne;;Any% Race;Race;;0:12:49;ESA 2012;0vUJeHkqgWM
Sun 19 Aug 2012 09:50:00 +0200;Super Mario Bros. 3;Frezy_Man;;Any% No WW;;;0:13:24;ESA 2012;A669fOC_ZNU
Sun 19 Aug 2012 10:05:00 +0200;Super Mario 64;CpKaka;;70 Star;;;0:53:23;ESA 2012;f5XaE1s3QkA
