Scheduled;Game;Players;Platform;Category;Categories;Twitch;Time;Event
Wed 25 Jul 2018 22:07:00 +0200;[Awful Games](https://youtu.be/N27QV7_Z-j4?t=16);[havrd](https://www.twitch.tv/havrd)|[Janmumrik](https://www.twitch.tv/janmumrik);PC;Any%;Relay|Race;289194380;0:28:44;ESA 2018 (Stream One)
Wed 25 Jul 2018 23:09:00 +0200;[Arabian Nights](https://www.speedrun.com/Arabian_Nights#Any_with_dialogue);[Goost91](https://www.twitch.tv/goost91);PC;Any% (With Dialogue);;289209341;0:38:35;ESA 2018 (Stream One)
Wed 25 Jul 2018 23:59:00 +0200;[Prince of Persia: The Sands of Time](https://www.speedrun.com/pop_sot);[tocaloni1](https://www.twitch.tv/tocaloni1);PC;Any% (Zipless) Segmented Reveal;;289232146;0:59:21;ESA 2018 (Stream One)
Thu 26 Jul 2018 01:14:00 +0200;[SUPERHOT](https://www.speedrun.com/SUPERHOT);[Jackintoshh](https://www.twitch.tv/Jackintoshh);PC;Any%;;289242858;0:24:21;ESA 2018 (Stream One)
Thu 26 Jul 2018 01:47:00 +0200;[I Wanna Kill The Kamilia 2](https://www.speedrun.com/iwktkamilia2);[BBF_](https://www.twitch.tv/bbf_);PC;Any%;;289282643;1:36:29;ESA 2018 (Stream One)
Thu 26 Jul 2018 03:27:00 +0200;[Family Guy: Back to the Multiverse](https://www.speedrun.com/Family_Guy_Back_to_the_Multiverse#Co-Op_Any_NG%2B);[Geurge](https://www.twitch.tv/geurge)|[Hennejoe](https://www.twitch.tv/hennejoe);PC;Any% (NG+ Co-Op);;289300924;0:47:43;ESA 2018 (Stream One)
Thu 26 Jul 2018 04:37:00 +0200;[Lara Croft and the Guardian of Light](https://www.speedrun.com/lcgol);[RandomPinkBunny](https://www.twitch.tv/randompinkbunny)|[SeductiveSpatula](https://www.twitch.tv/seductivespatula);PC;Any% (NG+);Race;289319151;0:27:20;ESA 2018 (Stream One)
Thu 26 Jul 2018 05:19:00 +0200;[Tomb Raider III: Adventures of Lara Croft](https://www.speedrun.com/tr3);[eidgod](https://www.twitch.tv/eidgod);PC;Any%;;289345075;1:20:39;ESA 2018 (Stream One)
Thu 26 Jul 2018 06:49:00 +0200;[Tomb Raider: The Angel of Darkness](https://www.speedrun.com/traod);[Cadarev](https://www.twitch.tv/cadarev);PC;Any%;;289352756;0:23:58;ESA 2018 (Stream One)
Thu 26 Jul 2018 07:29:00 +0200;[BioShock Infinite](https://www.speedrun.com/bsi);[henyK](https://www.twitch.tv/henyK);PC;Any%;;289378090;1:50:04;ESA 2018 (Stream One)
Thu 26 Jul 2018 09:29:00 +0200;[WarioWare: Smooth Moves](https://www.speedrun.com/wwsm);[ChriSoofy](https://www.twitch.tv/chrisoofy)|[Ellaapiie](https://www.twitch.tv/ellaapiie);Wii;Any%;Race;289387749;0:49:02;ESA 2018 (Stream One)
Thu 26 Jul 2018 10:32:00 +0200;[Jak II](https://www.speedrun.com/jak2);[Boomer](https://www.twitch.tv/BoomerStreams);PS3;Any%;;289399077;1:02:49;ESA 2018 (Stream One)
Thu 26 Jul 2018 12:02:00 +0200;[The Legend of Zelda: A Link Between Worlds](https://www.speedrun.com/albw#100);[Herreteman](https://www.twitch.tv/herreteman);3DS;100%;;289441874;3:18:42;ESA 2018 (Stream One)
Thu 26 Jul 2018 15:42:00 +0200;[Bastion](https://www.speedrun.com/bastion#All_Dreams_and_Challenges);[acridstingray3](https://www.twitch.tv/acridstingray3)|[HaosEdge](https://www.twitch.tv/haosedge)|[Kazzadan](https://www.twitch.tv/kazzadan)|[Leonmachar](https://www.twitch.tv/leonmachar);PC;Dreams and Challenges;Race;289461078;0:57:44;ESA 2018 (Stream One)
Thu 26 Jul 2018 17:13:00 +0200;[Light Fall](https://www.speedrun.com/Light_Fall);[Dedew](https://www.twitch.tv/LostDedew);PC;Any% (Normal);;289477237;0:31:44;ESA 2018 (Stream One)
Thu 26 Jul 2018 17:58:00 +0200;[Run Invalid](https://www.youtube.com/watch?v=icPanNGjXRk);[havrd](https://www.twitch.tv/havrd)|[Strife](https://www.twitch.tv/Strife);PC;Any%;;289485071;0:10:25;ESA 2018 (Stream One)
Thu 26 Jul 2018 18:38:00 +0200;[Celeste](https://www.speedrun.com/Celeste);[Punchi](https://www.twitch.tv/Punchi);PC;Any%;;289503287;0:37:55;ESA 2018 (Stream One)
Thu 26 Jul 2018 19:30:00 +0200;[Donkey Kong 5: The Journey of Over Time and Space](https://www.speedrun.com/dk5);[CDRomatron](https://www.twitch.tv/CDRomatron);GBP;Any%;;289518489;0:05:40;ESA 2018 (Stream One)
Thu 26 Jul 2018 19:39:00 +0200;[VVVVVV](https://www.speedrun.com/VVVVVV);[mohoc](https://www.twitch.tv/mohoc7)|[tzann](https://www.twitch.tv/tzann)|[lennart_underscore](https://www.twitch.tv/lennart_underscore);PC;Any% (No Telejumping);Race;289792370;0:13:00;ESA 2018 (Stream One)
Thu 26 Jul 2018 20:02:00 +0200;[I Wanna Be The Boshy](https://www.speedrun.com/iwbtboshy#Any_No_WW_DBO);[BBF_](https://www.twitch.tv/bbf_);PC;Any% (Rage-Mode);;289545472;1:07:37;ESA 2018 (Stream One)
Thu 26 Jul 2018 21:14:00 +0200;[Nitronic Rush](https://www.speedrun.com/nrush);[Lordmau5](https://www.twitch.tv/Lordmau5);PC;Story Mode;;289551018;0:09:33;ESA 2018 (Stream One)
Thu 26 Jul 2018 21:26:00 +0200;[Tetris The Grand Master](https://youtu.be/r26GbLguyU0);[TC_Qlex](https://www.twitch.tv/tc_qlex);Arcade;Exhibition;;289572200;0:50:00;ESA 2018 (Stream One)
Thu 26 Jul 2018 22:39:00 +0200;[Tekken 7](https://www.speedrun.com/tekken7);[Shirdel](https://www.twitch.tv/shirdel);PC;Any% (3 Stars);;289587961;0:27:09;ESA 2018 (Stream One)
Thu 26 Jul 2018 23:24:00 +0200;[Mike Tyson's Punch-Out!!](https://www.speedrun.com/mtpo);[sinister1](https://www.twitch.tv/sinister1);NES;Any%;;289597590;0:21:22;ESA 2018 (Stream One)
Thu 26 Jul 2018 23:59:00 +0200;[Adventure Island II](https://www.speedrun.com/ai2);[TheMexicanRunner](https://www.twitch.tv/TheMexicanRunner);NES;Any%;;289609804;0:24:28;ESA 2018 (Stream One)
Fri 27 Jul 2018 00:39:00 +0200;[Batman: The Video Game](https://www.speedrun.com/Batman_The_Video_Game_NES);[Dxtr](https://www.twitch.tv/dxtr)|[EndySWE](https://www.twitch.tv/endyswe);NES;Any%;Race;289615739;0:10:16;ESA 2018 (Stream One)
