Scheduled;Game;Players;Platform;Category;Categories;Twitch;Time;Event
Sun 25 Nov 2018 16:40:00 +0100;[BioShock](https://www.speedrun.com/bs1#All_Collectibles);[SerSanju](https://www.twitch.tv/sersanju);PC;All Collectibles;;340623949;1:38:05;ESA 2018 - Movember
Sun 25 Nov 2018 18:32:00 +0100;[Subnautica](https://www.speedrun.com/subnautica);[Yayfornuke](https://www.twitch.tv/yayfornuke);PC;Any% Survival;;340658441;0:53:38;ESA 2018 - Movember
Sun 25 Nov 2018 19:39:00 +0100;[Slime Rancher](https://www.speedrun.com/slime_rancher);[isBullets](https://www.twitch.tv/isbullets);PC;Any%;;340671024;0:18:01;ESA 2018 - Movember
Sun 25 Nov 2018 20:06:00 +0100;[Cuphead](https://www.speedrun.com/cuphead#All_Bosses);[Kirthar](https://www.twitch.tv/kirthar);PC;All Bosses - Regular, Legacy;;340689592;0:32:53;ESA 2018 - Movember
Sun 25 Nov 2018 20:53:00 +0100;[Sonic Mania Plus](https://www.speedrun.com/sonicmaniaplus#Sonic_and_Tails);[Argick](https://www.twitch.tv/argick);PC;Sonic & Tails Good Ending;;340721344;1:02:14;ESA 2018 - Movember
Sun 25 Nov 2018 22:00:00 +0100;[Super Mario Bros. 2](https://www.speedrun.com/smb2);[coolkid](https://www.twitch.tv/coolkid);NES;Any%;;340730771;0:11:45;ESA 2018 - Movember
Sun 25 Nov 2018 22:21:00 +0100;[Super Mario Odyssey](https://www.speedrun.com/smo#Any);[Fuzzyness](https://www.twitch.tv/Fuzzyness);Switch;Any%;;340761100;1:09:07;ESA 2018 - Movember
Sun 25 Nov 2018 23:43:00 +0100;[Star Fox 64](https://www.speedrun.com/sf64#Red_Line);[Pottoww](https://www.twitch.tv/Pottoww);N64;Red Line;;340776107;0:33:26;ESA 2018 - Movember
Mon 26 Nov 2018 00:23:30 +0100;[Yoshi's Island DS](https://www.speedrun.com/yids);[RDVvsTheWorld](https://www.twitch.tv/RDVvsTheWorld);DS;Any%;;340818593;1:48:37;ESA 2018 - Movember
Mon 26 Nov 2018 02:38:30 +0100;[Yooka-Laylee](https://www.speedrun.com/yl);[ninpalk](https://www.twitch.tv/ninpalk);Switch;Any%;;340834703;0:37:40;ESA 2018 - Movember
Mon 26 Nov 2018 03:18:30 +0100;[ABZU](https://www.speedrun.com/abzu#Blue_Suit_Glitchless_Any);[PsychoBunny](https://www.twitch.tv/PsychoBunny);PC;Blue Suit Glitchless Any%;;340579618?t=11h06m17s;0:36:15;ESA 2018 - Movember
