Scheduled;Game;Players;Platform;Category;Categories;Twitch;Time;Event;Youtube
2025-06-29T14:00:00+02:00;Street Boyz;[RebelDragon95](https://oengus.io/user/RebelDragon95);PlayStation 2;All Stages (NG+);;;0:29:53;ESA 2025 Summer (Two);GF5eNjoyazM
2025-06-29T14:50:00+02:00;Splatter Master;[AbyssToaster](https://oengus.io/user/Abyss);PlayStation 2;Any% (Easy);;;0:16:42;ESA 2025 Summer (Two);09vdypqwu3M
2025-06-29T15:23:00+02:00;Ratchet & Clank Future: Tools of Destruction;[Torpadorp](https://oengus.io/user/torpadorp);PlayStation 3;100%;;;2:29:04;ESA 2025 Summer (Two);JKYP9powhLA
2025-06-29T18:23:00+02:00;Call of Duty: Modern Warfare 2 (2009);[Erisrine](https://oengus.io/user/Eris);PC;Spec Ops;;;0:58:56;ESA 2025 Summer (Two);N4jmw4aWGDc
2025-06-29T19:38:00+02:00;We Love Katamari;[GreenSnowDog](https://oengus.io/user/GreenSnowDog);PlayStation 2;Roll Up the Sun (No Boost);;;1:12:48;ESA 2025 Summer (Two);pHfX2mWxLx4
2025-06-29T21:03:00+02:00;Yu-Gi-Oh! Forbidden Memories;[DylanJayFox](https://oengus.io/user/DylanJayFox);PlayStation;All Duelists (15-Card);;;3:29:01;ESA 2025 Summer (Two);uStpbDllXDI
2025-06-30T10:00:00+02:00;Final Fantasy VII Rebirth;[desa35](https://oengus.io/user/desa);PC;Any% (Easy);;;6:12:10;ESA 2025 Summer (Two);db2TT_hZBco
2025-06-30T16:30:00+02:00;Tetris Effect: Connected;[JuZockt](https://oengus.io/user/juzockt_);PC;Journey (Normal);;;0:35:12;ESA 2025 Summer (Two);16bCVa9LqVE
2025-06-30T17:23:00+02:00;Rift of the Necrodancer;[OckE](https://oengus.io/user/OckE);PC;All Minigames and Bosses & Impossible Song Showcase;;;1:02:27;ESA 2025 Summer (Two);xL5W7ExOPEQ
2025-06-30T18:38:00+02:00;HROT;SuiMachine;PC;Any%;;;0:53:52;ESA 2025 Summer (Two);adyYHQY8FYc
2025-06-30T19:50:00+02:00;Quantum of Solace;[Jackyrite](https://oengus.io/user/Jackyrite);PC;Any%;;;1:01:02;ESA 2025 Summer (Two);US2u1hJj0PI
2025-06-30T21:15:00+02:00;Lost Judgment;[RebelDragon95](https://oengus.io/user/RebelDragon95);PlayStation 5;Any%;;;2:40:46;ESA 2025 Summer (Two);W5s-p1SyBp8
