Scheduled;Game;Players;Platform;Category;Categories;Twitch;Time;Event;Youtube
2022-07-24T12:00:00+02:00;Crash Twinsanity;[Joester98](https://www.twitch.tv/Joester98);PlayStation 2;100%;;;1:12:45;ESA 2022 Summer (Two);L45qN17h6A0
2022-07-24T17:24:00+02:00;Ori and the Will of the Wisps;[christianroyle](https://www.twitch.tv/christianroyle);PC;Any% (No Map Glitch);;;0:36:03;ESA 2022 Summer (Two);BhbYCAdFGIU
2022-07-25T12:50:00+02:00;Persona 4 Golden;[Neviutz](https://www.twitch.tv/Neviutz);PC;Golden Ending (Hard);;;8:14:30;ESA 2022 Summer (Two);VuUNXJxxOu4
2022-07-26T13:18:00+02:00;Survival Kids;[Nardiko](https://www.twitch.tv/Nardiko);GBi;Ending 4;;;0:42:43;ESA 2022 Summer (Two);oHgZ90lEZNw
2022-07-27T12:25:00+02:00;Shadwen;[Arzga](https://www.twitch.tv/Arzga);PC;Any%;;;0:57:12;ESA 2022 Summer (Two);JQaMOjy0Ugc
2022-07-27T17:20:00+02:00;Mortyr 2093-1944;[DVark09](https://www.twitch.tv/DVark09);PC;Any%;;;0:26:10;ESA 2022 Summer (Two);BD3dCOAxUeU
2022-07-27T23:55:00+02:00;Alba: A Wildlife Adventure;[Paulister](https://www.twitch.tv/Paulister);PC;Any%;;;0:36:36;ESA 2022 Summer (Two);8FeJnPCERfg
2022-07-28T14:04:00+02:00;Teenage Mutant Ninja Turtles;[nilssonalex92](https://www.twitch.tv/nilssonalex92);NES;Any%;;;0:21:40;ESA 2022 Summer (Two);uqzbNj1DSiQ
2022-07-28T17:10:00+02:00;Sonic Chaos;[Argick](https://www.twitch.tv/Argick);SMS;Beat The Game;;;0:12:38;ESA 2022 Summer (Two);avfhop7px9E
2022-07-28T22:12:00+02:00;Grand Theft Auto: San Andreas;[Joshimuz](https://www.twitch.tv/joshimuz)|[Lordmau5](https://www.twitch.tv/Lordmau5)|[EnglishBen](https://www.twitch.tv/english_ben)|[KinzyKenzie](https://www.twitch.tv/kinzykenzie)|[Naro](https://www.twitch.tv/naro)|[hoxi](https://www.twitch.tv/hoxi___)|[jolzi](https://www.twitch.tv/jolzi)|[PokerFacowaty](https://www.twitch.tv/pokerfacowaty)|[zoton2](https://www.twitch.tv/zoton2)|[Menno888](https://www.twitch.tv/menno888);PC;Los Santos (Chaos Mod, Relay);;;4:08:27;ESA 2022 Summer (Two);vdEYqaU7EqY
2022-07-29T14:37:00+02:00;Katamari Damacy REROLL;[GreenSnowDog](https://www.twitch.tv/GreenSnowDog);PC;Any% (No Boost);;;0:36:07;ESA 2022 Summer (Two);pdYZUQyKTiQ
2022-07-29T20:15:00+02:00;Resident Evil 5;[YatogamiNL](https://www.twitch.tv/yatogaminl);PC;NG+ (Amateur);;;1:41:17;ESA 2022 Summer (Two);E0-XFrmyOks
2022-07-24T13:35:00+02:00;Herc's Adventures;[Chfou](https://www.twitch.tv/Chfou);PSTV;Any%;;;0:28:59;ESA 2022 Summer (Two);Wn_X0Pzz8s8
