Scheduled;Game;Players;Platform;Category;Categories;Twitch;Time;Event;Youtube
2026-02-09T14:00:00+01:00;Noddy and the Magic Book;SixRock;PlayStation 2;Any%;;;1:29:22;ESA 2026 Winter (Two);cRsay3xSr50
2026-02-09T16:00:00+01:00;Tiger Woods PGA Tour 2005;hypnoshark;Xbox;Complete All Courses;;;0:08:39;ESA 2026 Winter (Two);JEm3ClTJb_U
2026-02-09T18:00:00+01:00;Sewer Rave;Lurven|Laay|& Friends;PC;8-Player Any% Tournament;;;1:13:11;ESA 2026 Winter (Two);qkHBOvclKuY
2026-02-09T19:25:00+01:00;Classics Archipelago;MajestikMelville|Mizzow|YunikoYokai|ollymuirs_;PC*;4-Man Co-Op;;;4:35:22;ESA 2026 Winter (Two);vasGnd7s1-Q
2026-02-10T12:00:00+01:00;The Painscreek Killings;rudhira;PC;All Keys;;;0:21:38;ESA 2026 Winter (Two);9Fgm8JiGmhA
2026-02-10T12:40:00+01:00;Bob the Builder: Can We Fix It?;Bradley_Gam1ng;PlayStation 2;All Missions (Easy);;;0:13:03;ESA 2026 Winter (Two);nKkIv1ggNt4
2026-02-10T13:10:00+01:00;Bejeweled 3;OckE;PC;All Quests;;;0:09:16;ESA 2026 Winter (Two);-p3XOCtRz8g
2026-02-10T14:15:00+01:00;Crypt of the Necrodancer;Sailo;PC;Story Mode;;;0:55:00;ESA 2026 Winter (Two);EbLaZ_p1Bf8
2026-02-10T15:30:00+01:00;Super Smash Bros: Melee;fuzzyness;GCN;All Events;;;0:45:56;ESA 2026 Winter (Two);BssQsU8TeY4
2026-02-10T16:25:00+01:00;Sly Cooper;TheProfesser|NightF1y|ShadowZ vs. Ostrava|Alaapo|IceN;PlayStation 3;The Aces Finals;;;0:34:13;ESA 2026 Winter (Two);ntbPRhxS1cY
2026-02-10T19:10:00+01:00;The Last Faith;Aeshmah;PlayStation 5;Hail to the King Any% NG+;;;1:45:09;ESA 2026 Winter (Two);846GYXHlC8w
2026-02-10T20:55:00+01:00;Might and Magic VII: For Blood and Honor;sothangel;PC;Any% (No Major Glitches);;;1:17:48;ESA 2026 Winter (Two);PC4Ok7FbUN0
2026-02-10T22:30:00+01:00;Kunitsu-Gami: Path of the Goddess;Aeshmah;PlayStation 5;Otherworldly Venture (Normal);;;1:11:08;ESA 2026 Winter (Two);6kgB2GvxWA0
2026-02-11T13:15:00+01:00;A Corgi's Cozy Hike;SpaceLozzy;PC;100%;;;1:10:40;ESA 2026 Winter (Two);97POPs1udGE
2026-02-11T15:15:00+01:00;Quest 64;fuzzyness;Nintendo 64;Any% (US);;;1:29:59;ESA 2026 Winter (Two);ZfQYMlExZJ8
2026-02-11T17:40:00+01:00;Touhou: Dai-chan's Great Adventure: World's End;DreeGon;PC;Good Ending;;;0:26:26;ESA 2026 Winter (Two);lm8iULpGiyk
2026-02-11T19:30:00+01:00;Sonic Battle;RebelDragon95;Game Boy Advance*;Sonic's Story (Upgraded Emerl);;;0:19:29;ESA 2026 Winter (Two);QhvQSBPoQGM
2026-02-11T20:10:00+01:00;Command & Conquer: Red Alert 2;Nevflinn;PC;Allied Campaign (Hard Mode, Glitchless, Cutscene%);;;1:13:52;ESA 2026 Winter (Two);ptMVXN7szC0
