Scheduled;Game;Players;Platform;Category;Categories;Twitch;Time;Event;Youtube
Tue 26 Jul 2016 15:54:00 +0200;Oddworld: Abe's Oddysee;[Samtastic95](http://twitch.tv/Samtastic95);PC;Any%;;;0:12:54;ESA 2016;a2fhy_eZR5k
Fri 29 Jul 2016 01:15:00 +0200;Ooze (Action 52);[alko_sda](http://twitch.tv/alko_sda);Genesis;Any%;;;0:05:34;ESA 2016;8mxJlrZWMFs
Tue 26 Jul 2016 23:51:00 +0200;Ori and the Blind Forest Definitive Edition;[jokaah](http://twitch.tv/jokaah);PC;All Skills, no OOB;;;0:38:49;ESA 2016;ceeX21Ymsdw
Sun 24 Jul 2016 00:40:00 +0200;Outlast;[Tirean](http://twitch.tv/Tirean);PC;No OoB;;;0:43:01;ESA 2016;HeBLnp8U-uI
Fri 29 Jul 2016 01:54:00 +0200;Phantasy Star II;[kruskader](http://twitch.tv/kruskader);Genesis;Any%;;;0:43:18;ESA 2016;m6pdrpIzkHc
Mon 25 Jul 2016 17:26:00 +0200;Pikmin 3;[360Chrism](http://twitch.tv/360Chrism);Wii U;Any%;;;1:01:08;ESA 2016;OenSl5RqQEI
Fri 29 Jul 2016 07:29:00 +0200;Pokémon Snap;[Drogeriehund](http://twitch.tv/Drogeriehund);N64;100%;;;0:26:43;ESA 2016;Iy4GO_av9PY
Thu 28 Jul 2016 21:30:00 +0200;Portal;[karl__k](http://twitch.tv/karl__k);PC;No OOB;;;0:13:44;ESA 2016;3h-9R9pY-Jg
Tue 26 Jul 2016 04:44:00 +0200;Prince of Persia: The Sands of Time;[tocaloni1](http://twitch.tv/tocaloni1), [epicdudeguy](http://twitch.tv/epicdudeguy);PC;Any% Zipless;Race;;1:24:51;ESA 2016;SXK498EudVo
Wed 27 Jul 2016 08:21:00 +0200;Prince of Persia: The Two Thrones;[criban](http://twitch.tv/criban);PC;Any%;;;1:06:16;ESA 2016;mLEWAzHcFNo
Wed 27 Jul 2016 14:44:00 +0200;Pulseman;[Naegleria](http://hitbox.tv/Naegleria);Genesis;Any% no skid jump;;;0:46:46;ESA 2016;GiuBbP3DC9c
Fri 29 Jul 2016 20:06:00 +0200;Q.U.B.E.;[etholon](http://twitch.tv/etholon), [Fatzke](http://twitch.tv/Fatzke);PC;Any%;Race;;0:31:44;ESA 2016;qtRNrw88UKQ
Wed 27 Jul 2016 02:55:00 +0200;Quake;[elgu_](http://twitch.tv/elgu_);PC;Any%;;;0:15:57;ESA 2016;HV0lZkI7V6g
Wed 27 Jul 2016 03:23:00 +0200;Quake II (PC);[Brainfluid](http://twitch.tv/Brainfluid);PC;Any% (Easy);;;0:22:49;ESA 2016;l5k654sAhbA
Thu 28 Jul 2016 04:24:00 +0200;Quint's Revenge;[snapcase_](http://twitch.tv/snapcase_);PC;Any%;;;0:22:05;ESA 2016;xUO-uwnF5kk
Sat 30 Jul 2016 02:11:00 +0200;Ratchet & Clank;[ThaRixer](http://twitch.tv/ThaRixer);PS3;NG+;;;0:26:07;ESA 2016;DTJLO7wdfs4
Wed 27 Jul 2016 09:49:00 +0200;Resident Evil 0 Remaster;[xpessimism](http://twitch.tv/xpessimism);PC;Wesker Mode;;;1:16:24;ESA 2016;W_1NNgG8oEs
Sun 24 Jul 2016 01:34:00 +0200;Resident Evil 3: Nemesis;[Magn00zl](http://twitch.tv/Magn00zl);PC;Any%;;;0:44:56;ESA 2016;pEk040xHV14
Sun 24 Jul 2016 12:59:00 +0200;River City Ransom;[Niss3](http://twitch.tv/Niss3);NES;Any%;;;0:09:58;ESA 2016;hcSKQshxiLU
Fri 29 Jul 2016 05:56:00 +0200;SEGA Bass Fishing;[Fuzzyness](http://twitch.tv/Fuzzyness);DC;Any%;;;0:06:22;ESA 2016;gXT8_CZ5Q4I
Thu 28 Jul 2016 15:20:00 +0200;Serious Sam HD: The First Encounter;[Tezur0](http://twitch.tv/Tezur0);PC;Any% - Tourist;;;0:43:24;ESA 2016;4hK7lpLd5Ss
Wed 27 Jul 2016 00:44:00 +0200;Shadow Complex Remastered;[GreenalinkSDA](http://twitch.tv/GreenalinkSDA);PC;NG+ 100% Insane;;;1:04:46;ESA 2016;CT1VK9tYyck
Sat 23 Jul 2016 23:12:00 +0200;SOMA;[Nord]();PC;Any%;;;1:19:55;ESA 2016;9ifEDISC8qQ
Sun 24 Jul 2016 19:17:00 +0200;Spyro 2: Ripto's Rage!;[Tyzerra](http://twitch.tv/Tyzerra);PS2;100%;;;1:51:09;ESA 2016;Gua6o5Iqd_o
