Scheduled;Game;Players;Platform;Category;Categories;Twitch;Time;Event;Youtube
2023-07-22T14:00:00+02:00;Mega Man 2.5D;[BigJon](https://twitch.tv/BigJon);PC;Any% (Normal, Single run);;;0:46:30;ESA 2023 Summer (One);7QGmu7wSJeE
2023-07-22T20:46:00+02:00;Vampire: The Masquerade - Bloodlines;[Vysetra](https://twitch.tv/Vysetra);PC;Any% (Nosferatu);;;0:35:32;ESA 2023 Summer (One);WD72gQYiGL4
2023-07-23T01:38:00+02:00;The Legend of Zelda: The Wind Waker HD;[GiantClam](https://twitch.tv/Youreverydaygiantclam);WiiU;All Dungeons (Unrestricted);;;2:23:06;ESA 2023 Summer (One);YYo8OMAuRQQ
2023-07-23T10:53:00+02:00;Gravity Circuit;[Gordon_Ramsay](https://twitch.tv/gordinramsay);PC;Any%;;;1:00:52;ESA 2023 Summer (One);Qbgeb6TBJTw
2023-07-23T19:38:00+02:00;Sonic the Hedgehog;[pho](https://twitch.tv/phozonn);Genesis;Beat The Game;;;0:23:56;ESA 2023 Summer (One);hJFh8e53HlA
2023-07-23T23:05:00+02:00;Prince of Persia;[lichtwirbelwind](https://twitch.tv/lichtwirbelwind);SNES;Any% (No Exit Glitch);;;0:41:04;ESA 2023 Summer (One);O4sGzujLARk
2023-07-24T06:13:00+02:00;Devil May Cry 5;[unintendedchaos](https://twitch.tv/unintendedchaos);PC;NG (Human);;;1:29:49;ESA 2023 Summer (One);yCgfMBJu_C8
2023-07-24T13:56:00+02:00;Dissidia Final Fantasy;[Mizzow](https://twitch.tv/mrmizzow) vs. [Leonis](https://twitch.tv/leonis07);PlayStation P;Any%;;;1:24:43;ESA 2023 Summer (One);6lawwpj76Pg
2023-07-24T19:49:00+02:00;Aliens vs. Predator (2010);[SuiMachine](https://twitch.tv/SuiMachine);PC;Alien Campaign;;;0:11:28;ESA 2023 Summer (One);3SbPfbGD3I0
2023-07-25T01:01:00+02:00;BioShock 2;[SerSanju](https://twitch.tv/SerSanju);PC;Any%;;;1:00:45;ESA 2023 Summer (One);_W_HvWqrN6s
2023-07-25T10:08:00+02:00;M.C. Kids;[Scha](https://twitch.tv/Schaaa);NES;Any%;;;0:22:11;ESA 2023 Summer (One);aTewHx2HKEE
2023-07-25T13:25:00+02:00;Batman: The Video Game;[RiYAN](https://twitch.tv/riyan) vs. [dxtr](https://twitch.tv/dxtr) vs. [EndySWE](https://twitch.tv/endyswe);NES;Any%;;;0:11:22;ESA 2023 Summer (One);aXCoppJf9Rk
2023-07-25T19:17:00+02:00;Trackmania;[Rastats](https://twitch.tv/Rastats) vs. [MyKeY](https://twitch.tv/MyKeYY);PC;Community Speedrun;;;0:29:21;ESA 2023 Summer (One);XTOSY-co0h0
2023-07-26T01:31:00+02:00;William Shatner's Tekwar;[dauswectus](https://twitch.tv/dauswectus);PC;Any%;;;0:09:31;ESA 2023 Summer (One);_BNSC4rpmJY
2023-07-26T06:53:00+02:00;LittleBigPlanet 2;[RbdJellyfish](https://twitch.tv/rbdjellyfish)|[firethieff](https://twitch.tv/firethieff)|[Krosso](https://twitch.tv/krossotv)|[fritt](https://twitch.tv/fritt);PlayStation 3;Any% (NG+);;;1:22:18;ESA 2023 Summer (One);RQGZxjOhaL8
2023-07-26T13:23:00+02:00;Jak Trilogy;[the_stellar](https://twitch.tv/the_Stellar)|[Jazz](https://twitch.tv/sir_jazzberry)|[HillaryPuff](https://twitch.tv/hillarypuff);PlayStation 2;Any% (Trifecta);;;2:39:42;ESA 2023 Summer (One);O2UBsfDF654
2023-07-26T22:09:00+02:00;Elden Ring;[Pennek](https://twitch.tv/Pennek);PC;Any% (Unrestricted, Blindfolded);;;1:44:36;ESA 2023 Summer (One);RU9cJLgRmcM
2023-07-27T08:40:00+02:00;Grapple Hoops;[Lordmau5](https://twitch.tv/Lordmau5);PC;Any% (No Bosses & OG Levels);;;0:16:15;ESA 2023 Summer (One);Nylcxzoc_g4
2023-07-27T15:26:00+02:00;Ring Fit Adventure;[heinki](https://twitch.tv/heinki);Switch;$25%;;;1:00:48;ESA 2023 Summer (One);tIeeXOhRqbU
2023-07-27T21:36:00+02:00;Sonic Adventure DX: Director's Cut;[Slysonic](https://twitch.tv/slysonic)|[Vojtas131](https://twitch.tv/vojtas131)|[nimputs](https://twitch.tv/nimputs)|[hibnotix](https://twitch.tv/hibnotix)|[DreeGon](https://twitch.tv/vdreegonv)|[ChZdk](https://twitch.tv/chzdk)|[skoob](https://twitch.tv/skoobmaster);PC;All Stories;;;1:42:26;ESA 2023 Summer (One);B3s8zhkpvME
2023-07-28T09:06:00+02:00;Natural Spirit;[havrd](https://twitch.tv/havrd);PC;Any%;;;0:23:26;ESA 2023 Summer (One);Df15JZbXb10
2023-07-28T15:53:00+02:00;COBI;[jeakerek](https://twitch.tv/jeakerek) vs. [zolaa](https://twitch.tv/zolaa23_);Tabletop;Game vs. Bricks;;;0:14:44;ESA 2023 Summer (One);PC87A8TKHP4
2023-07-28T19:52:00+02:00;Jazzpunk;[Nikoheart](https://twitch.tv/Nikoheart);PC;Any% (Camera Controller 📷);;;0:25:30;ESA 2023 Summer (One);_3A11QnVnqc
