Scheduled;Game;Players;Platform;Category;Categories;Twitch;Time;Event;Youtube
Tue 30 Jun 2015 14:20:00 +0200;A Hat In Time;[gongong](http://www.twitch.tv/gongong12);PC;All Time Pieces;;;0:27:49;ESA 2015 (Yellow);Ae0dXeJTFDQ
Thu 02 Jul 2015 13:05:00 +0200;Advance Wars: Dual Strike;[Frozer](http://www.twitch.tv/lefrozer);DS;Any%;;;1:43:47;ESA 2015 (Yellow);WFpaB67vlsI
Mon 29 Jun 2015 22:05:00 +0200;Age of Empires & Age of Empires II;[Adam_ak](http://www.twitch.tv/adam_ak)|[Mhmd_FVC](http://www.twitch.tv/Mhmd_FVC);PC;IL Showcase;;;1:34:33;ESA 2015 (Yellow);vg2vaH0WcUA
Sun 05 Jul 2015 10:25:00 +0200;Alex Kidd;[btrim](http://www.twitch.tv/btrim)|[KrazyRasmus](http://www.twitch.tv/krazyrasmus);SMS;Any%;Race;;0:08:30;ESA 2015 (Yellow);r-yXxxQd9vE
Thu 02 Jul 2015 10:30:00 +0200;Alex Kidd In Miracle World;[btrim](http://www.twitch.tv/btrim);SMS;Any%;;;0:14:58;ESA 2015 (Purple);jWXcyYjoRXE
Tue 30 Jun 2015 06:07:00 +0200;Alisia Dragoon;[Baffan](http://www.twitch.tv/Baffan);Genesis;Any%;;;0:15:52;ESA 2015 (Purple);Rr3gstVjVd4
Mon 29 Jun 2015 07:27:00 +0200;Amazing Princess Sarah;[KennyMan666](http://www.twitch.tv/kennyman616);Xbox 360;Vampire Princess New Game+;;;0:33:15;ESA 2015 (Purple);lhbVe_4lJx8
Fri 03 Jul 2015 09:30:00 +0200;An American Tail: Fievel Goes West;[Chrno](http://www.twitch.tv/chrnothesinner);SNES;Any%;;;0:31:51;ESA 2015 (Purple);vfV5GwkwhJI
Sun 05 Jul 2015 03:41:00 +0200;Another World;[Pogington](http://www.twitch.tv/Pogington);PC;Any%;;;0:16:23;ESA 2015 (Purple);51lx-p-3WPY
Tue 30 Jun 2015 16:47:00 +0200;Ape Escape 3;[downiebrownie_](http://www.twitch.tv/downiebrownie111);PS3;Any%;;;1:17:52;ESA 2015 (Purple);JrQghFCw1x4
