Scheduled;Game;Players;Platform;Category;Categories;Twitch;Time;Event;Youtube
2024-07-20T14:00:00+02:00;The Worlds Hardest Game;[hsblue](https://oengus.io/user/hsblue);PC;Any% (Flash);;;0:07:14;ESA 2024 Summer;JttkrJBP-k4
2024-07-20T21:20:00+02:00;Super Mario Odyssey;[Shemcat](https://oengus.io/user/shemcat);Switch;World Peace;;;1:16:34;ESA 2024 Summer;CSD_N3G9PeA
2024-07-21T09:15:00+02:00;Space Quest II: Vohaul's Revenge;[jokaah](https://oengus.io/user/jokaah);MS-DOS;Any% No Cheat;;;0:07:11;ESA 2024 Summer;DyRIgbQIpgA
2024-07-21T11:03:00+02:00;Super Mario Bros. 2;[Lui](https://oengus.io/user/lui);NES;All Powerup Mushrooms;;;0:33:07;ESA 2024 Summer;rvjz_C22tBo
2024-07-21T14:53:00+02:00;Sonic Robo Blast 2;[Lemin](https://oengus.io/user/lemin) vs. [Refrag](https://oengus.io/user/refrag);PC;Sonic Any%;;;0:25:56;ESA 2024 Summer;36HYPJ7oDj0
2024-07-21T21:50:00+02:00;Old School Runescape;[daansmoki](https://oengus.io/user/daansmoki) vs. [GiantClam](https://oengus.io/user/giantclam);PC;OSRS Bingo;;;3:36:31;ESA 2024 Summer;AhbNMAJbpK8
2024-07-22T12:07:00+02:00;Paris Marseille Racing;[Shigan_](https://oengus.io/user/shigan_)|[linkboss](https://oengus.io/user/linkboss);PlayStation;2P1C;;;0:13:34;ESA 2024 Summer;aQBrWgR0_RQ
2024-07-22T18:47:00+02:00;Golden Sun;[Plexa](https://oengus.io/user/plexa);SwitchVC;Any% No Save & Quit;;;3:32:15;ESA 2024 Summer;QqOH-_qIjNs
2024-07-23T08:32:00+02:00;Skull Island: Rise of Kong;[sweedola](https://oengus.io/user/sweedola);PC;All bosses;;;0:33:12;ESA 2024 Summer;ZZrr7M3RSYA
2024-07-23T17:27:00+02:00;The Neverhood;[Cosmironic](https://oengus.io/user/cosmironic);PC;Cutscene%;;;0:58:58;ESA 2024 Summer;X_U11EFHJrs
2024-07-24T09:55:00+02:00;Bishoujo senshi sailor moon;[JkL0ser](https://oengus.io/user/jkl0ser);Genesis;Easy;;;0:19:41;ESA 2024 Summer;fUA3GRdFjHw
2024-07-24T15:13:00+02:00;The Lord of the Rings: The Third Age;[deano95hd](https://oengus.io/user/deano95hd);GCN;Full Game Any% Glitchless;;;5:46:55;ESA 2024 Summer;S6scrO1v61Q
2024-07-25T07:30:00+02:00;Sonic Adventure DX: Director's Cut;[DreeGon](https://oengus.io/user/dreegon);PC;Sonic's Story;;;0:37:05;ESA 2024 Summer;C2-04i_zt9k
2024-07-25T13:17:00+02:00;Mirror's Edge;Team Juan vs Team Carlos;PC;Any%;;;0:49:45;ESA 2024 Summer;50oQHWo2MK8
2024-07-25T16:26:00+02:00;Chip 'N Dale: Rescue Rangers;[hirexen](https://oengus.io/user/hirexen) vs. [EndySWE](https://oengus.io/user/endyswe);NES;Any%;;;0:10:42;ESA 2024 Summer;YqGEcWyd-R4
2024-07-25T18:54:00+02:00;The Rescue of Princess Blobette;[Oh_DeeR](https://oengus.io/user/oh_deer);SGB2;Any%;;;0:03:22;ESA 2024 Summer;GlLCALsOZJs
2024-07-25T22:40:00+02:00;Metroid Deep Freeze;[Xoneris](https://oengus.io/user/xoneris);GBA;100%;;;0:08:49;ESA 2024 Summer;3NN2EI1H_70
2024-07-26T09:38:00+02:00;Beep's Escape;[TinyTim78](https://oengus.io/user/tinytim78);PC;Complete the Game;;;0:27:11;ESA 2024 Summer;5hNPNBd6phQ
2024-07-26T13:58:00+02:00;Tomb Raider: The Last Revelation;[Cadarev](https://oengus.io/user/cadarev);PC;Any%;;;0:27:34;ESA 2024 Summer;1b7tEq3yMIg
2024-07-26T18:50:00+02:00;The Legend of Zelda: Ocarina of Time;[axellarsen](https://oengus.io/user/axellarsen);WiiVC;100%;;;4:08:15;ESA 2024 Summer;QqZu_WZ0v3o
2024-07-27T15:52:00+02:00;Super Metroid and A Link to the Past Combo Randomizer;[mm2nescartridge](https://oengus.io/user/mm2nescartridge)|[Eriror](https://oengus.io/user/eriror);SNES;Co-op Randomizer;;;2:24:11;ESA 2024 Summer;Ml2skfp6fuM
2024-07-20T14:25:00+02:00;Ratchet & Clank: Into The Nexus;[Syn](https://oengus.io/user/synn1_);PlayStation 3;NG+;;;0:22:20;ESA 2024 Summer;J6KShJ5Iofs
2024-07-20T22:56:00+02:00;Pokémon Platinum;[marchspec](https://oengus.io/user/marchspec) vs. [Rubentus](https://oengus.io/user/rubentus);DS;Any%;;;2:54:05;ESA 2024 Summer;6EhGNLR7izI
2024-07-21T09:32:00+02:00;Vice: Project Doom;[Bassguy](https://oengus.io/user/bassguy);NES;any%;;;0:15:50;ESA 2024 Summer;VKqZJrdsfvo
2024-07-21T11:44:00+02:00;Slightly Magic;[TinyTim78](https://oengus.io/user/TinyTim78);ZXSpectrum;Complete the Game (Single Run);;;0:16:20;ESA 2024 Summer;XWBusbTNss8
2024-07-21T15:38:00+02:00;LEGO Harry Potter: The Battle for Hogwarts;[Oggy](https://oengus.io/user/oggy);PC;Any%;;;0:01:22;ESA 2024 Summer;mYy4lj0h64A
2024-07-22T07:00:00+02:00;Kingdom Hearts Birth by Sleep Final Mix HD;[rebeldragon95](https://oengus.io/user/rebeldragon95);PlayStation 5;Ventus Critical Level 1 Any%;;;0:50:31;ESA 2024 Summer;BGKq1ZuuYe0
2024-07-22T12:37:00+02:00;Diddy Kong Racing;[MrPonytale](https://oengus.io/user/mrponytale);N64;Any%;;;0:43:28;ESA 2024 Summer;AzE0N0kRDGY
2024-07-22T22:42:00+02:00;Spider-Man (2000);[Shemp](https://oengus.io/user/shemp);PlayStation;Any% (Easy);;;0:36:35;ESA 2024 Summer;mIovER1AOCo
2024-07-23T09:22:00+02:00;Shadow Warrior 3;[83kY](https://oengus.io/user/83ky);PC;Any%;;;0:53:57;ESA 2024 Summer;Bn9VOnpMEO8
2024-07-23T18:57:00+02:00;Ocarina of Time in Minecraft 1.0.1;[sajiki](https://oengus.io/user/sajiki);PC;any%;;;0:16:02;ESA 2024 Summer;3uRb5S9J5vk
2024-07-24T10:45:00+02:00;Touhouvania 2;[Shadax](https://oengus.io/user/shadax);PC;Hard;;;0:15:11;ESA 2024 Summer;ioM5SHPQajM
2024-07-24T21:13:00+02:00;Sly Cooper and the Thievius Raccoonus;[hsblue](https://oengus.io/user/hsblue);PlayStation 3;Any%;;;0:47:32;ESA 2024 Summer;O6J8SLxou70
2024-07-25T08:25:00+02:00;Sonic Adventure DX: Director's Cut;[ChZdk](https://oengus.io/user/chzdk);PC;Amy's Story;;;0:20:57;ESA 2024 Summer;yjTySRhIQz0
2024-07-25T14:17:00+02:00;Teenage Mutant Ninja Turtles;[nilssonalex92](https://oengus.io/user/nilssonalex92);NES;Any%;;;0:20:13;ESA 2024 Summer;49Upou1Rttg
2024-07-25T16:45:00+02:00;Panic Restaurant;[Laxxus](https://oengus.io/user/laxxus) vs. [hirexen](https://oengus.io/user/hirexen);NES;Any%;;;0:15:33;ESA 2024 Summer;qFgLRgbAfwc
2024-07-25T19:06:00+02:00;Takeshi's Challenge;[lucha_gym ](https://oengus.io/user/lucha_gym_2);NES;Any%;;;0:05:16;ESA 2024 Summer;Iwr48SYp85g
2024-07-25T23:17:00+02:00;Crash Bandicoot 2: Cortex Strikes Back;[Alaapo](https://oengus.io/user/alaapo);PC;any% powermod;;;0:50:45;ESA 2024 Summer;rRthcTIjeec
2024-07-26T10:20:00+02:00;Chuckie Egg;[TinyTim78](https://oengus.io/user/tinytim78);ZXSpectrum;Complete Level 16;;;0:18:37;ESA 2024 Summer;TWawIXJQ1yk
2024-07-26T14:40:00+02:00;Umihara Kawase;[Nitroz](https://oengus.io/user/nitroz);PC;Longest Path;;;0:13:13;ESA 2024 Summer;Hyq9nQofrLc
2024-07-26T23:10:00+02:00;Super Mario 64 Archipelago;[360chrism](https://oengus.io/user/360chrism);PC;Ability Randomizer;;;1:00:48;ESA 2024 Summer;Fs5p73JWopI
2024-07-27T18:37:00+02:00;Yooka-Laylee and the Impossible Lair;[hedweg](https://oengus.io/user/hedweg);PC;24 Bees;;;0:59:29;ESA 2024 Summer;xsS26z5ouo0
2024-07-20T15:10:00+02:00;Ratchet & Clank;[snee](https://oengus.io/user/snee) vs. [xem92](https://oengus.io/user/xem92);PlayStation 3;All Gold Bolts;;;0:56:44;ESA 2024 Summer;udq4sqL17p0
2024-07-21T06:58:00+02:00;Rosenkreuzstilette Freudenstachel;[Hypah](https://oengus.io/user/hypah);PC;Any%;;;0:31:12;ESA 2024 Summer;19KZySThS6c
2024-07-21T09:59:00+02:00;Kabuki Quantum Fighter;[Bassguy](https://oengus.io/user/bassguy);NES;any%;;;0:11:59;ESA 2024 Summer;VgcIqsAj8dw
2024-07-21T12:05:00+02:00;Streets of Rage 4;[LinkBoss](https://oengus.io/user/LinkBoss);PC;Arcade (Cherry, Easy);;;0:47:23;ESA 2024 Summer;3cAoDTwO3b0
2024-07-21T15:58:00+02:00;SCED-02417 Demo Disc;[tharixer](https://oengus.io/user/tharixer);PlayStation;All Games;;;0:51:08;ESA 2024 Summer;_Bfr5vF-4DY
2024-07-22T08:15:00+02:00;Pseudoregalia;[DevilSnake74](https://oengus.io/user/devilsnake74);PC;All Abilities (No OOB) Full Gold Patch;;;0:32:03;ESA 2024 Summer;7cRds50ON24
2024-07-22T13:42:00+02:00;Tom Clancy's Splinter Cell: Pandora Tomorrow;[DirectorMusic](https://oengus.io/user/directormusic);PC;Any%;;;0:47:54;ESA 2024 Summer;Uc6G3ZEFZvo
2024-07-22T23:37:00+02:00;Spyro the Dragon;[lumilaura](https://oengus.io/user/lumilaura);PlayStation;Any%;;;0:37:51;ESA 2024 Summer;y2TubEju-PA
2024-07-23T10:32:00+02:00;Oni;[Original_Baum](https://oengus.io/user/derbaum333);PC;any% easy;;;0:21:32;ESA 2024 Summer;m7e-DVQSe1Q
2024-07-23T19:29:00+02:00;The Legend of Zelda Ocarina of Time Beta Quest + Stream 2;[Baal](https://oengus.io/user/baalnocturno) vs. [Runnerguy2489](https://oengus.io/user/runnerguy2489);N64;Battleship Bingo;;;3:30:00;ESA 2024 Summer;MV-2HflPXKs
2024-07-24T11:20:00+02:00;Halo 3;Halo 3 Relay Team;PC;Easy;;;1:12:16;ESA 2024 Summer;vu8UujAhxBA
2024-07-24T22:13:00+02:00;The Legend of Zelda: A Link to the Past Randomizer;[Jem](https://oengus.io/user/jem)|[clearmouse](https://oengus.io/user/clearmouse);SNES;Pilot Spoiler Keysanity;;;0:56:34;ESA 2024 Summer;L5ls7utzD-Y
2024-07-25T08:52:00+02:00;Hotline Miami 2: Wrong Number;[jackyrite](https://oengus.io/user/jackyrite);PC;Hard Mode;;;0:55:28;ESA 2024 Summer;Un2dIscpNcw
2024-07-25T14:47:00+02:00;Ducktales 2;[nintendonatalie](https://oengus.io/user/nintendnat);NES;any% (easy);;;0:11:32;ESA 2024 Summer;NG6G91AUZPk
2024-07-25T17:08:00+02:00;Monster in My Pocket;[hirexen](https://oengus.io/user/hirexen);NES;Any%;;;0:17:29;ESA 2024 Summer;GfgeBR5zoEo
2024-07-25T19:20:00+02:00;Pieces;[Apollo22237](https://oengus.io/user/apollo22237);SNES;Easy-Hard (Controller);;;0:17:21;ESA 2024 Summer;I4_IU7RAh2k
