Scheduled;Game;Players;Platform;Category;Categories;Twitch;Time;Event;Youtube
2023-02-18T15:45:00+01:00;Stray;[christianroyle](https://www.twitch.tv/christianroyle);PC;Any% (Unrestricted);;;0:50:51;ESA 2023 Winter (One);_DIDeJUotJM
2023-02-18T21:51:00+01:00;Goat Simulator 3;[Riekelt](https://www.twitch.tv/Riekelt)|[Lordmau5](https://www.twitch.tv/Lordmau5);PC;Beat the Farmer;;;0:28:41;ESA 2023 Winter (One);o4FDdFYdgzo
2023-02-19T12:37:00+01:00;Bastion;[Leonmachar](https://www.twitch.tv/Leonmachar);PC;Altruist;;;1:02:58;ESA 2023 Winter (One);nfRTOMfk57E
2023-02-19T20:45:00+01:00;The Legend of Zelda: Breath of the Wild;[Bubzia](https://www.twitch.tv/Bubzia);Switch;Any% (Blindfolded);;;1:26:36;ESA 2023 Winter (One);nRVEiYKCWGw
2023-02-20T11:32:00+01:00;Harry Potter and the Goblet of Fire;[Kaethil](https://www.twitch.tv/Kaethil)|[Rasschla](https://www.twitch.tv/Rasschla);PC;Any%;;;1:14:15;ESA 2023 Winter (One);BlHcC1S8FOo
2023-02-20T19:07:00+01:00;Sonic Triple Trouble (16-Bit);[huds601](https://www.twitch.tv/huds601);PC;Beat the Game (Sonic & Tails, Glitched);;;0:48:47;ESA 2023 Winter (One);l_oIz67xSp8
2023-02-21T04:21:00+01:00;Crash Bandicoot 3: Warped;[Riko](https://www.twitch.tv/Riko_KSB);PlayStation 2;105%;;;2:14:54;ESA 2023 Winter (One);nhRkvJtC13w
2023-02-21T18:14:00+01:00;Mirror's Edge;[Eris](https://www.twitch.tv/speedyEris);PC;Any%;;;0:38:53;ESA 2023 Winter (One);J-8efKIl7Pg
2023-02-21T22:47:00+01:00;TETR.IO;Kelvin|Zepheniah|mystery|z2sam|mat1jaczyyy;PC;Showcase (40 Lines + Blitz + Multiplayer);;;1:09:49;ESA 2023 Winter (One);cLr_JtCBrBU
2023-02-22T10:05:00+01:00;de Blob;[oknem](https://www.twitch.tv/oknem);PC;Any%;;;1:04:31;ESA 2023 Winter (One);P_o5cxsnaAY
2023-02-22T16:15:00+01:00;The Legend of Zelda: Ocarina of Time;[Smaugy](https://www.twitch.tv/Smaugy);WiiVC;100% (Glitchless);;;6:04:49;ESA 2023 Winter (One);6wwZemFhkd4
2023-02-23T07:09:00+01:00;Lost Judgment;[rebeldragon95](https://www.twitch.tv/rebeldragon95);PlayStation 5;The Kaito Files (Any%, Easy);;;0:53:05;ESA 2023 Winter (One);jBd4tjdfJ-4
2023-02-23T16:58:00+01:00;Survival Kids 2;[neomatamune](https://www.twitch.tv/neomatamune);GBC;Ending 1;;;0:14:04;ESA 2023 Winter (One);OYLO0zZtprc
2023-02-24T04:01:00+01:00;Red Dead Redemption 2;[FreshRigi](https://www.twitch.tv/FreshRigi);PC;Chapter 4 (Saint Denis);;;1:34:00;ESA 2023 Winter (One);VROoFB6Kx8A
2023-02-24T13:31:00+01:00;Wendy: Der Traum von Arizona;[G3neziz](https://www.twitch.tv/G3neziz);GBP;Any%;;;0:18:38;ESA 2023 Winter (One);scKVJrFI2Y8
2023-02-24T19:11:00+01:00;Final Fantasy VII Remake;[FoxyJira](https://www.twitch.tv/FoxyJira);PlayStation 5;Intermission (Normal);;;0:57:04;ESA 2023 Winter (One);KmNj4lcxPXs
2023-02-25T08:00:00+01:00;Monkey Island 2: LeChuck's Revenge;[thewoofs](https://www.twitch.tv/thewoofs);PC;Any%;;;0:34:50;ESA 2023 Winter (One);dsA8YxiiA_U
2023-02-25T14:40:00+01:00;Bomberman 64;[Fuzzyness](https://www.twitch.tv/fuzzyness);N64;Any% (Normal);;;0:31:47;ESA 2023 Winter (One);3rAnDth_8pM
2023-02-25T21:31:00+01:00;Super Mario Odyssey;[Fuzzyness](https://www.twitch.tv/Fuzzyness) & 112 Friends!;Switch;Any%;;;1:46:04;ESA 2023 Winter (One);LUwXGqcT5Ik
2023-02-18T16:58:00+01:00;A Hat in Time;[Evanicia](https://www.twitch.tv/Evanicia);PC;Any%;;;0:46:12;ESA 2023 Winter (One);1vPfVoDaSqk
2023-02-18T22:38:00+01:00;The Legend of Zelda: Ocarina of Time;[Bubzia](https://www.twitch.tv/Bubzia);WiiVC;Any% Blindfolded (Defeat Ganon);;;1:04:33;ESA 2023 Winter (One);3edgsME75Dk
2023-02-19T14:00:00+01:00;Transistor;[KassXCII](https://www.twitch.tv/KassXCII);PC;Any%;;;0:41:33;ESA 2023 Winter (One);6cLV98KVSIg
2023-02-19T22:55:00+01:00;Grim Fandango Remastered;[thewoofs](https://www.twitch.tv/thewoofs);PC;Any%;;;1:19:55;ESA 2023 Winter (One);v9rmCk8ocM8
2023-02-20T13:09:00+01:00;Bloodstained: Curse of the Moon;[AEtienne](https://www.twitch.tv/AEtienne);Switch;Any% (No OoB);;;0:30:03;ESA 2023 Winter (One);CAh17b5ttwo
2023-02-20T20:12:00+01:00;Teenage Mutant Ninja Turtles: Shredder's Revenge;[Greenalink](https://www.twitch.tv/GreenalinkSDA);PC;Arcade (Chill, Raphael);;;0:59:24;ESA 2023 Winter (One);b447a1jPmW8
2023-02-21T06:46:00+01:00;Mario Party Superstars;[Shigan_](https://www.twitch.tv/Shigan_);Switch;All Boards (Easy);;;2:28:52;ESA 2023 Winter (One);aYAKVXCgiqo
2023-02-21T19:04:00+01:00;Quake Mission Pack 1: Scourge of Armagon;[Sphere](https://www.twitch.tv/spheremj);PC;Easy Run;;;0:09:12;ESA 2023 Winter (One);LOgcn8O7vcs
2023-02-22T00:09:00+01:00;Tomb Raider Anniversary;[impursky](https://www.twitch.tv/impursky);PC;Any% (w/ Bug Jump);;;0:25:17;ESA 2023 Winter (One);ZGODUBR8x6g
2023-02-22T11:23:00+01:00;I Am Jesus Christ;[zoton2](https://www.twitch.tv/zoton2);PC;Prologue;;;0:30:20;ESA 2023 Winter (One);3goXE-mPKhs
2023-02-22T22:35:00+01:00;Sonic Frontiers;[DreeGon](https://www.twitch.tv/vdreegonv);PlayStation 5;Any% (No DLC);;;1:24:50;ESA 2023 Winter (One);hvSlERIpFjw
2023-02-23T08:19:00+01:00;Horizon Forbidden West;[Elkjaer](https://www.twitch.tv/ElkjaerTV);PlayStation 5;NG+ (Ultra Hard);;;1:52:34;ESA 2023 Winter (One);IcqYC55d-S0
2023-02-23T17:29:00+01:00;Kwirk;BSG & Friends;GBP;Heading Out 99 RMS;;;0:25:02;ESA 2023 Winter (One);orAkzKsmB0E
2023-02-24T05:46:00+01:00;The Messenger;[StoRmsN](https://www.twitch.tv/StoRmsN);PC;100%;;;2:28:41;ESA 2023 Winter (One);S3dy5IxTYgs
2023-02-24T14:01:00+01:00;Reservoir Dogs;[ViperUK](https://www.twitch.tv/ViperRaces);PC;Any%;;;0:50:59;ESA 2023 Winter (One);Rb7zR6bFC3E
2023-02-24T20:26:00+01:00;Jubeat;opartyjesper & Friends;Arcade;Showcase;;;0:34:54;ESA 2023 Winter (One);yWsN3Pro0F4
2023-02-25T08:52:00+01:00;Zeliard;[happycamper](https://www.twitch.tv/happycamper__);MS-DOS;Any% (Speed Mixed);;;0:45:51;ESA 2023 Winter (One);oqCBU-EVFrI
2023-02-25T15:20:00+01:00;Super Mario 64;[360Chrism](https://www.twitch.tv/360chrism);WiiVC;70 Star (Non-Stop, Randomizer);;;0:39:16;ESA 2023 Winter (One);fqSwuRwyI-k
2023-02-18T18:03:00+01:00;Grand Theft Auto: Vice City;[English_Ben](https://www.twitch.tv/English_Ben);PC;Tightened Vice;;;1:18:44;ESA 2023 Winter (One);ZMGytA9uvlU
2023-02-19T00:06:00+01:00;Resident Evil 5;[Aeshmah](https://www.twitch.tv/Aeshmah_)|[TaintedTali](https://www.twitch.tv/TaintedTali);PC;NG+ (No 1-1, No Rocket, AMA);;;1:38:46;ESA 2023 Winter (One);PSv8kB_2PBA
2023-02-19T14:55:00+01:00;Hades;[OckE](https://www.twitch.tv/ocke93);PC;Dash Only;;;0:21:01;ESA 2023 Winter (One);PeqzW4jmCV0
2023-02-20T00:24:00+01:00;Pokémon Brilliant Diamond;[sylwer](https://www.twitch.tv/ssylwer);Switch;Any%;;;0:23:18;ESA 2023 Winter (One);vs2JdV8sQWo
2023-02-20T14:04:00+01:00;IKEA Billy Assembly;[Edenal](https://www.twitch.tv/edenalsda) vs. [Miri](https://www.twitch.tv/miri);IRL;100% ($25%);;;0:06:16;ESA 2023 Winter (One);3Ib06NkKBWY
2023-02-20T21:32:00+01:00;Super Metroid;[Celina](https://www.twitch.tv/Celina);SNES;Survive the Chat;;;1:27:24;ESA 2023 Winter (One);jErm40Ub2Hk
2023-02-21T09:36:00+01:00;Shadow Hearts: Covenant;[bowiethehero](https://www.twitch.tv/bowiethehero);PlayStation 2;Any%;;;6:24:20;ESA 2023 Winter (One);OaR0R-Pd6aU
2023-02-21T19:22:00+01:00;Deus Ex: The Fall;[SuiMachine](https://www.twitch.tv/SuiMachine);PC;Any%;;;0:18:16;ESA 2023 Winter (One);sYhhWwV3F2c
2023-02-22T00:55:00+01:00;Crash Bandicoot 4: It's About Time;[cookienaval](https://www.twitch.tv/cookienaval);PC;All Clear Gems;;;2:37:35;ESA 2023 Winter (One);jhZaIcfbVFY
2023-02-22T12:15:00+01:00;Pooh and Tigger's Hunny Safari;[Rasschla](https://www.twitch.tv/Rasschla);GBC;Beat The Game (Easy);;;0:24:38;ESA 2023 Winter (One);Mj_yg6SEDb0
2023-02-23T00:17:00+01:00;Spark the Electric Jester 3;[Argick](https://www.twitch.tv/Argick);PC;Any%;;;1:18:59;ESA 2023 Winter (One);n73QdycIamE
2023-02-23T10:30:00+01:00;Gran Turismo 2;[cousin](https://www.twitch.tv/cousinouf);PlayStation;All Licenses;;;0:48:48;ESA 2023 Winter (One);3i8TZYrwJcQ
2023-02-23T18:12:00+01:00;Planet Cube: Edge;[Nashlax](https://www.twitch.tv/nashlax)|[Edenal](https://www.twitch.tv/edenalsda);PC;4 Stages;;;0:50:59;ESA 2023 Winter (One);orVkiDIP0iU
2023-02-24T08:36:00+01:00;The Elder Scrolls V: Skyrim;[TODDs_Telemedien](https://www.twitch.tv/TODDs_Telemedien);PC;Main Quest (Glitchless, Novice);;;1:19:34;ESA 2023 Winter (One);TAMXL3zsS2k
2023-02-24T15:03:00+01:00;Sonic 3D in 2D;[huds601](https://www.twitch.tv/huds601);PC;Beat The Game (Sonic);;;0:31:08;ESA 2023 Winter (One);JURqmd75F38
2023-02-24T22:10:00+01:00;Vampire Survivors;[Nashlax](https://www.twitch.tv/Nashlax)|[Argick](https://www.twitch.tv/Argick);PC;Crowd Control;;;2:00:13;ESA 2023 Winter (One);EisvelaHV-w
2023-02-25T09:52:00+01:00;Darkest Dungeon;[rebeldragon95](https://www.twitch.tv/rebeldragon95)|[tricrow](https://www.twitch.tv/tricrow);PC;Blackout Bingo (Coop);;;1:55:51;ESA 2023 Winter (One);dHSUhZDOsjw
2023-02-25T16:13:00+01:00;Mario Kart 8 Deluxe;[piimk8](https://www.twitch.tv/piimk8);Switch;48 Tracks (200cc, w/ Items);;;1:30:37;ESA 2023 Winter (One);f0kBX-6O1yk
2023-02-18T19:33:00+01:00;LEGO Batman 3: Beyond Gotham;[__LoS_](https://www.twitch.tv/losspeedrunning);PC;Any% (Original);;;0:17:04;ESA 2023 Winter (One);StZ1u0gvkk4
2023-02-19T02:02:00+01:00;The Legend of Zelda: Twilight Princess;[Nukie](https://www.twitch.tv/nukiedog);Wii;100%;;;7:08:52;ESA 2023 Winter (One);87qTWgsQLiE
2023-02-19T15:43:00+01:00;PC Building;Planks;IRL;All Screws;;;0:37:26;ESA 2023 Winter (One);6o8oUjdWvzE
