Scheduled;Game;Players;Platform;Category;Categories;Twitch;Time;Event;Youtube
Fri 01 Aug 2014 12:00:00 +0200;3D Dot Game Heroes;[Arzga](http://www.twitch.tv/arzga);PS4;Any% NG+;WR;;2:19:41;ESA 2014 (Yellow);oWOoPkzEtyc
Wed 31 Jul 2013 09:05:00 +0200;40 Winks;[Bangerra](http://www.twitch.tv/bangerra);PS1;Any%;;;0:34:56;ESA 2014 (Purple);tPbAB8PiOik
Wed 31 Jul 2013 10:15:00 +0200;A week of Garfield;[Coolkid](http://www.twitch.tv/dabigbooi);NES;Any%;;;0:10:58;ESA 2014 (Purple);cGbPSjzLjOs
Thu 01 Aug 2013 06:55:00 +0200;Abadox;[WERY];NES;100%;;;0:17:13;ESA 2014 (Purple);VuOK7HWZjH0
Sun 28 Jul 2013 06:40:00 +0200;American Gladiators;[Klosty](http://www.twitch.tv/klosty);SNES;Any%;;;0:05:01;ESA 2014 (Purple);E6AVB1NACVw
Wed 31 Jul 2013 06:20:00 +0200;Antichamber;[WydD](http://www.twitch.tv/wyddgames);PC;120 Signs;;;0:15:45;ESA 2014 (Purple);fNVw40Of6kY
Sat 27 Jul 2013 15:10:00 +0200;Ape Escape 3;[Cerberus](http://www.twitch.tv/Cerberusguns);PS2;Any%;;;1:18:41;ESA 2014 (Purple);LjJx5KUiFKE
Fri 02 Aug 2013 07:40:00 +0200;Asterix;[Svenne](http://www.twitch.tv/svenne1138);NES;Any%;;;0:07:24;ESA 2014 (Purple);PT0XecwTDXM
Thu 31 Jul 2014 07:10:00 +0200;Audiosurf;[Chrno](http://www.twitch.tv/chrnothesinner);PC;Song Donations;;;0:56:07;ESA 2014 (Yellow);13JUsR-Yf-k
Fri 01 Aug 2014 15:40:00 +0200;Bastion;[Cereth](http://www.twitch.tv/cereth)|[Incalex](http://www.twitch.tv/inkalex);PC;NG+ Any%;Race;;0:14:20;ESA 2014 (Yellow);uyrSm0PlDJ0
Fri 02 Aug 2013 17:45:00 +0200;Batman;[Badbrakes](http://www.twitch.tv/badbrakes)|[InfestedRiche](http://www.twitch.tv/infestedriche)|[dxtr](http://www.twitch.tv/dxtrslab);NES;Any% Threeway;Race;;0:11:13;ESA 2014 (Purple);KxA0WSa1eRM
Fri 02 Aug 2013 06:25:00 +0200;Batman 2: Return of the Joker;[WERY];NES;100%;;;0:17:14;ESA 2014 (Purple);fHwwzsdDP_s
Wed 30 Jul 2014 20:00:00 +0200;Batman: Arkham City;[RoboSparkle](http://www.twitch.tv/robo_sparkle);Xbox 360;Any%;;;2:15:23;ESA 2014 (Yellow);uIUVFEGlhWA
Sun 28 Jul 2013 09:10:00 +0200;Battle Kid: Fortress of Peril;[Airrider](http://www.twitch.tv/airriders)|[Spiriax](http://www.twitch.tv/headquarterstream);NES;Any%;Race;;0:44:05;ESA 2014 (Purple);G02ESkNbLyQ
Tue 29 Jul 2014 12:05:00 +0200;Battlefield: Bad Company 2;[icedpingu](http://www.twitch.tv/icedpingu);PC;Any%;;;1:26:05;ESA 2014 (Yellow);MNQ602F7eAw
Fri 02 Aug 2013 02:20:00 +0200;Bayonetta;[General_Beatrix](http://www.twitch.tv/general_beatrix);Xbox 360;Any%;;;2:01:00;ESA 2014 (Purple);6f_89WQziYg
Tue 29 Jul 2014 09:35:00 +0200;Beer - The Last Eichhof;[Winkl0r](http://www.twitch.tv/winkl0r);;Beat the Game%;;;0:15:37;ESA 2014 (Yellow);FG_sSL8Irwk
Mon 28 Jul 2014 23:30:00 +0200;Beyond Good & Evil;[lillbrorsan](http://www.twitch.tv/truljin);PC;Any%;;;2:38:17;ESA 2014 (Yellow);6I9mNZqffIE
Wed 31 Jul 2013 11:40:00 +0200;Bionic Commando Rearmed;[KennyMan666](http://www.twitch.tv/kennyman616);Xbox 360;100% (Normal);;;1:00:19;ESA 2014 (Purple);2KsdK2C88rM
Tue 30 Jul 2013 03:15:00 +0200;Bioshock;[MrHara](http://www.twitch.tv/mrhara);PC;Any%;;;0:59:44;ESA 2014 (Purple);JBlMI1zhvqk
Thu 31 Jul 2014 17:05:00 +0200;Blind Exhibition - Rick Dangerous;[RoboSparkle](http://www.twitch.tv/robo_sparkle)|[badbrakes](http://www.twitch.tv/badbrakes);Amiga;Showoff blind%;;;1:30:15;ESA 2014 (Yellow);J2bit1dART8
Sat 27 Jul 2013 20:15:00 +0200;Borderlands;[Incalex](http://www.twitch.tv/inkalex);PC;Any%;;;2:39:31;ESA 2014 (Purple);6XG60OT7yMk
Mon 29 Jul 2013 06:30:00 +0200;Bubble Ghost;[Joka](http://www.twitch.tv/jokaah);GB;Any%;;;0:07:20;ESA 2014 (Purple);8bIuBmn3L8I
Tue 30 Jul 2013 08:05:00 +0200;Castlevania: Aria Of Sorrow;[Charleon](http://www.twitch.tv/sethcharleon);GBA;Soma Any% (Normal);;;0:19:29;ESA 2014 (Purple);umHWZIA0LmQ
Thu 31 Jul 2014 03:15:00 +0200;Chaos Legion;[deathtome](http://www.twitch.tv/deathtome);PS2;Any% (Sieg Hard Difficulty);;;1:42:00;ESA 2014 (Yellow);CQWSuDDjZLY
Fri 02 Aug 2013 10:15:00 +0200;Chip 'N Dale: Rescue Rangers;[Joka](http://www.twitch.tv/jokaah)|[Nudua](http://www.twitch.tv/nudua);NES;All Zones;Race;;0:13:58;ESA 2014 (Purple);jtDd8CUMVSo
Tue 29 Jul 2014 07:40:00 +0200;Cloudbuilt;[MeridianPrime];PC;All Levels;;;1:14:00;ESA 2014 (Yellow);4sIY3HwyyJI
Fri 02 Aug 2013 17:20:00 +0200;Contra;[Frezy_man](https://www.youtube.com/user/Frezyman);NES;Any%;;;0:10:51;ESA 2014 (Purple);4L7kzlZU0jY
Sun 28 Jul 2013 15:30:00 +0200;Crash Bandicoot 2;[Zoton2](http://www.twitch.tv/zoton2);PS2;Any% No Game Over Abuse;;;0:52:20;ESA 2014 (Purple);wzIpYuPWGZA
Fri 01 Aug 2014 07:50:00 +0200;Crash Team Racing;[flippy_O](http://www.twitch.tv/flippy_o)|[Joshimuz](http://www.twitch.tv/joshimuz);PS1;Any%;Race;;0:58:32;ESA 2014 (Yellow);xVFJW__w0Ys
Sat 27 Jul 2013 14:00:00 +0200;Croc: Legend of the Gobbos;[PuppetMaster](http://www.twitch.tv/ESGPuppetMaster);PC;Any%;;;0:47:00;ESA 2014 (Purple);fRb-1bVT6Ro
Thu 01 Aug 2013 04:15:00 +0200;Dark Messiah of Might & Magic;[Elgu](http://www.twitch.tv/elgu_);PC;Any%;;;0:40:43;ESA 2014 (Purple);LyxQVGh0i5w
Sun 28 Jul 2013 21:20:00 +0200;Dark Souls;[Noobest](http://www.twitch.tv/noobest);PC;All Bosses;;;2:27:26;ESA 2014 (Purple);RqgMSc7WOQI
Fri 01 Aug 2014 23:40:00 +0200;Dark Souls 2;[Noobest](http://www.twitch.tv/noobest);PC;Any%;;;0:26:24;ESA 2014 (Yellow);Zsw0F1NwIGE
Tue 29 Jul 2014 22:40:00 +0200;Deus Ex Human Revolution Director's Cut;[Heinki](http://www.twitch.tv/heinki);PC;Any%;;;1:19:44;ESA 2014 (Yellow);HEr-GoLZc2w
Tue 29 Jul 2014 21:40:00 +0200;Deus EX Invisible War;[Heinki](http://www.twitch.tv/heinki);PC;Any%;;;0:43:38;ESA 2014 (Yellow);o1b5A3D53Zw
Thu 31 Jul 2014 01:50:00 +0200;Devil May Cry 1;[AncientAE](http://www.twitch.tv/ancientae);PS3;Any% Normal;;;1:05:14;ESA 2014 (Yellow);MdimCDfQrs0
Tue 30 Jul 2013 23:35:00 +0200;Diddy Kong Racing;[MrsGizamaluke](http://www.twitch.tv/mrsgizamaluke);N64;Any%;;;0:47:51;ESA 2014 (Purple);yMVlw3dcJyk
Wed 31 Jul 2013 17:55:00 +0200;Disney Extreme Skate Adventure;[Chrno](http://www.twitch.tv/chrnothesinner);PS2;Any%;;;0:18:50;ESA 2014 (Purple);F5OEQDFTu0c
Mon 28 Jul 2014 13:30:00 +0200;Donald Duck Quack Attack;[Arzga](http://www.twitch.tv/arzga);Wii;Any%;;;0:49:33;ESA 2014 (Yellow);KqYC5VUbclQ
Sun 28 Jul 2013 07:50:00 +0200;Donald Land;[Klosty](http://www.twitch.tv/klosty);FAM;Any%;;;0:15:02;ESA 2014 (Purple);Voazx-Zg4bg
Tue 30 Jul 2013 20:55:00 +0200;Donkey Kong Country 2;[Klosty](http://www.twitch.tv/klosty);SNES;Any%;;;0:48:16;ESA 2014 (Purple);ycOmj4PJNaQ
Tue 30 Jul 2013 21:45:00 +0200;Donkey Kong Country Returns;[Partystar](http://www.twitch.tv/PartystarGaming);Wii;Any%;;;1:39:09;ESA 2014 (Purple);LmRMWfnBN4g
Fri 01 Aug 2014 21:20:00 +0200;Doom;[wakecold](http://www.twitch.tv/wakecold);PC;Ultra-Violence Episodes 1-3;;;0:23:13;ESA 2014 (Yellow);zCJP2Xgf60U
Fri 02 Aug 2013 16:50:00 +0200;DuckTales;[dxtr](http://www.twitch.tv/dxtrslab)|[Nudua](http://www.twitch.tv/nudua);NES;Any% Race (Difficult);Race;;0:08:03;ESA 2014 (Purple);ubwsBslGDLA
Sun 28 Jul 2013 10:05:00 +0200;DuckTales 2;[Bangerra](http://www.twitch.tv/bangerra);GB;Good Ending;;;0:20:57;ESA 2014 (Purple);C6Opyf3il7E
Fri 02 Aug 2013 17:05:00 +0200;DuckTales 2;[dxtr](http://www.twitch.tv/dxtrslab)|[Bangerra](http://www.twitch.tv/bangerra);NES;Any% Race (Difficult);Race;;0:08:49;ESA 2014 (Purple);YxceixnyHhY
Fri 02 Aug 2013 05:40:00 +0200;Duo Princess;[KennyMan666](http://www.twitch.tv/kennyman616);PC;Any% Co-op;;;0:14:48;ESA 2014 (Purple);bu63dVpA4aU
Wed 31 Jul 2013 05:00:00 +0200;E.Y.E. Divine Cybermancy;[Ariwa](http://www.twitch.tv/saetaeaejae);PC;Any% NG+;;;0:23:52;ESA 2014 (Purple);4ss6VRj_24s
Mon 29 Jul 2013 03:00:00 +0200;Eternal Darkness: Sanity's Requiem;[Zwajken](http://www.twitch.tv/zwajken);GameCube;Any%;WR;;2:20:02;ESA 2014 (Purple);yBRfJOFQIQo
Tue 29 Jul 2014 19:10:00 +0200;Eye Motion Tracking Exhibition;[dwalky and zephyyrr](http://www.bream.io);;;;;0:24:03;ESA 2014 (Yellow);2Ds8Eo-j0IE
Fri 01 Aug 2014 15:00:00 +0200;FEZ;[Gyoo](http://www.twitch.tv/gyoo_);PC;Any% Clockless;;;0:31:00;ESA 2014 (Yellow);msmCve7jkNY
Wed 31 Jul 2013 15:25:00 +0200;Final Fantasy IV;[xemorej](http://www.twitch.tv/xemorej);SNES;DieHard% 64 Floor Glitch;;;2:40:08;ESA 2014 (Purple);rggYHrVV67c
Sat 02 Aug 2014 12:40:00 +0200;Final Fantasy VII;[Kynos](http://www.twitch.tv/xerokynos);PC;Glitch% (YuffieWarp);;;3:33:21;ESA 2014 (Yellow);7igczjKbbeI
Tue 30 Jul 2013 04:20:00 +0200;Final Fantasy: Crystal Chronicles;[Neviutz](http://www.twitch.tv/neviutz)|[Cereth](http://www.twitch.tv/cereth)|[Grokken](http://www.twitch.tv/grokken)|[MLSTRM](http://www.twitch.tv/mlstrm);GameCube;Any% (4 Player Co-op);Co-Op;;2:44:35;ESA 2014 (Purple);uyDiUnfO2ag
Thu 01 Aug 2013 07:15:00 +0200;Friday the 13th;[dxtr](http://www.twitch.tv/dxtrslab);NES;Any%;;;0:11:23;ESA 2014 (Purple);w7LH-CEO90g
Sat 27 Jul 2013 19:25:00 +0200;F-Zero X;[WMJ](http://www.twitch.tv/wmjspeedruns);N64;Master GP;;;0:40:44;ESA 2014 (Purple);jOgtf1wYJOk
Mon 28 Jul 2014 15:10:00 +0200;F-Zero X;[WMJ](http://www.twitch.tv/wmjspeedruns);N64;Staff Ghosts;;;0:38:39;ESA 2014 (Yellow);pgWw1dP8Wno
Mon 28 Jul 2014 15:55:00 +0200;F-Zero X;[WMJ](http://www.twitch.tv/wmjspeedruns);N64;Death Race;;;0:01:34;ESA 2014 (Yellow);QYqetmld10M?t=2704
Sun 28 Jul 2013 10:30:00 +0200;Gex (64) Enter the Gecko;[exe_de](http://www.twitch.tv/exe_de);N64;Any%;;;0:56:34;ESA 2014 (Purple);692L-8aTp6o
Mon 29 Jul 2013 08:55:00 +0200;Ghouls N' Ghosts;[Chucat](http://www.twitch.tv/chucat);Genesis;Any% (Professional);;;0:19:19;ESA 2014 (Purple);Atz_RXLr2KA
Wed 30 Jul 2014 17:00:00 +0200;Glitch Hunting & Glitch Showcase;[GlitchesAndStuff](http://www.twitch.tv/glitchesandstuff)|[RoboSparkle](http://www.twitch.tv/robo_sparkle)|[AMVX](http://www.twitch.tv/amvx);;Talk;;;1:26:12;ESA 2014 (Yellow);g8_8OPqZLIU
Tue 29 Jul 2014 04:05:00 +0200;God of War 3;[exe_de](http://www.twitch.tv/exe_de);PS3;Any% NG+;;;1:39:44;ESA 2014 (Yellow);UtDz6Cx1v1M
Thu 01 Aug 2013 12:45:00 +0200;Golden Sun;[BaalNocturno](http://www.twitch.tv/bloodduster);GBA;100%;;;4:54:49;ESA 2014 (Purple);rdUe56efm00
Tue 29 Jul 2014 21:10:00 +0200;Goldeneye 007;[illudude](http://www.twitch.tv/illudude);N64;100%;;;1:08:07;ESA 2014 (Yellow);UOuHbY8Djsc
Fri 02 Aug 2013 09:45:00 +0200;Goof Troop;[Edenal](http://www.twitch.tv/edenalsda);SNES;Co-op (Hard Mode);;;0:24:30;ESA 2014 (Purple);NAGYAnva2q0
Wed 30 Jul 2014 00:20:00 +0200;Grand Theft Auto 2;[Lighnat0r](http://www.twitch.tv/lighnat0r);PC;Downtown All Missions;;;1:17:46;ESA 2014 (Yellow);vV6RYBR9NLI
